1.041E-02 0.3487  0.9854 1.722E-22 3.198E+04
1.047E-02 0.3476  0.9852 1.726E-22 3.211E+04
1.053E-02 0.3465  0.9851 1.729E-22 3.223E+04
1.059E-02 0.3454  0.9849 1.733E-22 3.236E+04
1.065E-02 0.3443  0.9848 1.737E-22 3.248E+04
1.072E-02 0.3432  0.9846 1.740E-22 3.260E+04
1.078E-02 0.3420  0.9845 1.743E-22 3.272E+04
1.084E-02 0.3408  0.9843 1.747E-22 3.284E+04
1.090E-02 0.3395  0.9842 1.749E-22 3.296E+04
1.096E-02 0.3383  0.9840 1.752E-22 3.307E+04
1.103E-02 0.3369  0.9839 1.755E-22 3.319E+04
1.109E-02 0.3356  0.9837 1.757E-22 3.330E+04
1.116E-02 0.3342  0.9836 1.759E-22 3.341E+04
1.122E-02 0.3327  0.9835 1.761E-22 3.352E+04
1.128E-02 0.3312  0.9833 1.763E-22 3.363E+04
1.135E-02 0.3292  0.9832 1.764E-22 3.375E+04
1.142E-02 0.3271  0.9831 1.764E-22 3.386E+04
1.148E-02 0.3249  0.9830 1.764E-22 3.397E+04
1.155E-02 0.3214  0.9830 1.761E-22 3.408E+04
1.161E-02 0.3167  0.9830 1.755E-22 3.420E+04
1.168E-02 0.2969  0.9837 1.715E-22 3.439E+04
1.175E-02 0.3296  0.9847 1.595E-22 3.049E+04
1.182E-02 0.3370  0.9841 1.619E-22 3.061E+04
1.189E-02 0.3410  0.9838 1.630E-22 3.063E+04
1.195E-02 0.3442  0.9835 1.640E-22 3.068E+04
1.202E-02 0.3468  0.9832 1.651E-22 3.076E+04
1.209E-02 0.3483  0.9829 1.662E-22 3.089E+04
1.216E-02 0.3492  0.9826 1.672E-22 3.104E+04
1.223E-02 0.3498  0.9823 1.682E-22 3.120E+04
1.230E-02 0.3502  0.9820 1.692E-22 3.136E+04
1.237E-02 0.3503  0.9817 1.702E-22 3.153E+04
1.245E-02 0.3504  0.9814 1.711E-22 3.170E+04
1.252E-02 0.3504  0.9811 1.719E-22 3.186E+04
1.259E-02 0.3502  0.9809 1.727E-22 3.202E+04
1.266E-02 0.3499  0.9806 1.735E-22 3.218E+04
1.274E-02 0.3494  0.9803 1.743E-22 3.234E+04
1.281E-02 0.3489  0.9801 1.750E-22 3.250E+04
1.288E-02 0.3484  0.9798 1.757E-22 3.266E+04
1.296E-02 0.3477  0.9795 1.764E-22 3.282E+04
1.303E-02 0.3469  0.9793 1.771E-22 3.298E+04
1.311E-02 0.3457  0.9791 1.776E-22 3.315E+04
1.318E-02 0.3420  0.9790 1.775E-22 3.332E+04
1.326E-02 0.3478  0.9788 1.769E-22 3.291E+04
1.334E-02 0.3482  0.9785 1.779E-22 3.307E+04
