3.273E-03 0.5584  0.9990 1.058E-22 8.554E+03
3.292E-03 0.5570  0.9989 1.066E-22 8.646E+03
3.311E-03 0.5555  0.9989 1.074E-22 8.739E+03
3.330E-03 0.5540  0.9989 1.082E-22 8.833E+03
3.350E-03 0.5524  0.9989 1.089E-22 8.928E+03
3.369E-03 0.5509  0.9989 1.097E-22 9.024E+03
3.388E-03 0.5493  0.9989 1.105E-22 9.120E+03
3.408E-03 0.5477  0.9989 1.113E-22 9.217E+03
3.428E-03 0.5462  0.9989 1.121E-22 9.315E+03
3.447E-03 0.5446  0.9988 1.129E-22 9.412E+03
3.467E-03 0.5430  0.9988 1.137E-22 9.510E+03
3.487E-03 0.5415  0.9988 1.145E-22 9.609E+03
3.508E-03 0.5399  0.9988 1.152E-22 9.709E+03
3.528E-03 0.5383  0.9988 1.160E-22 9.810E+03
3.548E-03 0.5366  0.9988 1.168E-22 9.912E+03
3.569E-03 0.5350  0.9988 1.176E-22 1.001E+04
3.589E-03 0.5333  0.9987 1.184E-22 1.012E+04
3.610E-03 0.5317  0.9987 1.192E-22 1.022E+04
3.631E-03 0.5300  0.9987 1.200E-22 1.033E+04
3.652E-03 0.5284  0.9987 1.208E-22 1.043E+04
3.673E-03 0.5267  0.9987 1.216E-22 1.054E+04
3.694E-03 0.5250  0.9987 1.224E-22 1.064E+04
3.715E-03 0.5233  0.9987 1.232E-22 1.075E+04
3.737E-03 0.5216  0.9986 1.240E-22 1.086E+04
3.758E-03 0.5198  0.9986 1.248E-22 1.097E+04
3.780E-03 0.5181  0.9986 1.256E-22 1.108E+04
3.802E-03 0.5163  0.9986 1.264E-22 1.119E+04
3.824E-03 0.5145  0.9986 1.271E-22 1.130E+04
3.846E-03 0.5128  0.9986 1.279E-22 1.141E+04
3.868E-03 0.5110  0.9985 1.287E-22 1.153E+04
3.890E-03 0.5093  0.9985 1.295E-22 1.164E+04
3.913E-03 0.5076  0.9985 1.304E-22 1.175E+04
3.936E-03 0.5059  0.9985 1.312E-22 1.187E+04
3.958E-03 0.5041  0.9985 1.320E-22 1.198E+04
3.981E-03 0.5023  0.9984 1.328E-22 1.210E+04
4.004E-03 0.5004  0.9984 1.336E-22 1.222E+04
4.027E-03 0.4986  0.9984 1.344E-22 1.234E+04
4.050E-03 0.4967  0.9984 1.351E-22 1.245E+04
4.074E-03 0.4948  0.9984 1.359E-22 1.257E+04
4.097E-03 0.4929  0.9984 1.367E-22 1.269E+04
4.121E-03 0.4910  0.9983 1.375E-22 1.281E+04
4.145E-03 0.4890  0.9983 1.382E-22 1.293E+04
4.169E-03 0.4870  0.9983 1.390E-22 1.305E+04
4.193E-03 0.4849  0.9983 1.397E-22 1.318E+04
4.217E-03 0.4829  0.9983 1.405E-22 1.330E+04
4.241E-03 0.4809  0.9983 1.412E-22 1.342E+04
4.266E-03 0.4791  0.9983 1.420E-22 1.355E+04
4.290E-03 0.4773  0.9982 1.428E-22 1.367E+04
4.315E-03 0.4756  0.9982 1.437E-22 1.380E+04
4.340E-03 0.4740  0.9982 1.446E-22 1.392E+04
4.365E-03 0.4726  0.9981 1.455E-22 1.405E+04
