age,snrate,Xi_LyC,Psi_LW,Psi_PE
30.8,0.00020893,6.78983e+41,2.37053,12.5471
30.9,0.000208689,6.67801e+41,2.35336,12.4906
31,0.000208449,6.56619e+41,2.33619,12.4342
31.1,0.00020797,6.43194e+41,2.31889,12.3788
31.2,0.000207491,6.2977e+41,2.3016,12.3233
31.3,0.000207253,6.23988e+41,2.28504,12.2611
31.4,0.000207014,6.18206e+41,2.26848,12.1988
31.5,0.000206776,6.04697e+41,2.25052,12.141
31.6,0.000206538,5.91188e+41,2.23257,12.0832
31.7,0.000206301,5.85787e+41,2.22044,12.0344
31.8,0.000206063,5.80386e+41,2.20831,11.9856
31.9,0.00020559,5.72763e+41,2.19225,11.9277
32,0.000205116,5.6514e+41,2.17618,11.8699
32.1,0.00020488,5.52992e+41,2.1591,11.8148
32.2,0.000204644,5.40845e+41,2.14202,11.7597
32.3,0.000204409,5.3393e+41,2.12737,11.7037
32.4,0.000204174,5.27015e+41,2.11271,11.6478
32.5,0.000203939,5.20706e+41,2.10044,11.6017
32.6,0.000203704,5.14396e+41,2.08818,11.5557
32.7,0.00020347,5.06443e+41,2.07157,11.4962
32.8,0.000203236,4.9849e+41,2.05497,11.4368
32.9,0.000203002,4.8721e+41,2.03819,11.3825
33,0.000202768,4.75931e+41,2.02142,11.3282
33.1,0.000202535,4.73957e+41,2.01325,11.2904
33.2,0.000202302,4.71984e+41,2.00508,11.2526
33.3,0.000201837,4.66631e+41,1.99421,11.2102
33.4,0.000201372,4.61279e+41,1.98334,11.1678
33.5,0.000201141,4.56253e+41,1.9695,11.117
33.6,0.000200909,4.51228e+41,1.95566,11.0661
33.7,0.000200678,4.43378e+41,1.93995,11.0103
33.8,0.000200447,4.35527e+41,1.92423,10.9545
33.9,0.000200217,4.29368e+41,1.91165,10.9082
34,0.000199986,4.23208e+41,1.89908,10.8619
34.1,0.000199527,4.18713e+41,1.88733,10.8159
34.2,0.000199067,4.14219e+41,1.87557,10.7699
34.3,0.000198838,4.06738e+41,1.8622,10.7229
34.4,0.000198609,3.99258e+41,1.84883,10.6759
34.5,0.000198381,3.9569e+41,1.83645,10.6275
34.6,0.000198153,3.92122e+41,1.82407,10.579
34.7,0.000198153,3.87027e+41,1.81272,10.5357
34.8,0.000198153,3.81933e+41,1.80136,10.4924
34.9,0.000197697,3.76713e+41,1.79021,10.4504
35,0.000197242,3.71492e+41,1.77905,10.4083
35.1,0.000197015,3.66538e+41,1.76569,10.3589
35.2,0.000196789,3.61583e+41,1.75233,10.3094
35.3,0.000196562,3.58578e+41,1.74192,10.2685
35.4,0.000196336,3.55572e+41,1.73152,10.2276
35.5,0.00019611,3.47683e+41,1.71872,10.1808
35.6,0.000195884,3.39794e+41,1.70593,10.1341
35.7,0.000195659,3.35091e+41,1.69493,10.0929
35.8,0.000195434,3.30388e+41,1.68394,10.0518
35.9,0.000195209,3.24979e+41,1.67098,10.0056
36,0.000194984,3.19569e+41,1.65801,9.9593
36.1,0.000194537,3.1787e+41,1.64983,9.92271
36.2,0.000194089,3.16172e+41,1.64165,9.88611
36.3,0.000193865,3.10074e+41,1.62996,9.84311
36.4,0.000193642,3.03976e+41,1.61827,9.8001
36.5,0.000193642,2.99654e+41,1.60738,9.75733
36.6,0.000193642,2.95332e+41,1.59649,9.71456
36.7,0.000193197,2.88484e+41,1.5844,9.67465
36.8,0.000192752,2.81636e+41,1.57232,9.63473
36.9,0.000192531,2.80727e+41,1.56299,9.59182
37,0.000192309,2.79819e+41,1.55366,9.5489
37.1,0.000192088,2.76035e+41,1.54471,9.5138
37.2,0.000191867,2.72251e+41,1.53576,9.47869
37.3,0.000191646,2.66282e+41,1.52371,9.43549
37.4,0.000191426,2.60312e+41,1.51165,9.39229
37.5,0.000191205,2.57758e+41,1.5036,9.35888
37.6,0.000190985,2.55204e+41,1.49555,9.32546
37.7,0.000190766,2.51168e+41,1.48537,9.28609
37.8,0.000190546,2.47132e+41,1.4752,9.24671
37.9,0.000190327,2.4396e+41,1.46438,9.20322
38,0.000190108,2.40788e+41,1.45356,9.15973
38.1,0.000154891,2.37408e+41,1.44469,9.12418
38.2,0.000119674,2.34028e+41,1.43582,9.08863
38.3,5.9837e-05,2.30582e+41,1.42655,9.05253
38.4,0,2.27136e+41,1.41728,9.01644
38.5,0,2.23427e+41,1.40771,8.97931
38.6,0,2.19718e+41,1.39815,8.94217
38.7,0,2.16411e+41,1.38908,8.90627
38.8,0,2.13104e+41,1.38002,8.87036
38.9,0,2.10239e+41,1.37198,8.83745
39,0,2.07375e+41,1.36395,8.80453
39.1,0,2.04354e+41,1.35311,8.76006
39.2,0,2.01332e+41,1.34227,8.71559
39.3,0,2.00112e+41,1.33606,8.68834
39.4,0,1.98891e+41,1.32986,8.66108
39.5,0,1.96245e+41,1.32275,8.63142
39.6,0,1.93599e+41,1.31564,8.60176
39.7,0,1.92795e+41,1.31017,8.57611
39.8,0,1.91991e+41,1.30471,8.55047
39.9,0,1.89327e+41,1.29688,8.51752
40,0,1.86663e+41,1.28904,8.48457
40.1,0,1.84e+41,1.28121,8.45162
40.2,0,1.81336e+41,1.27338,8.41867
40.3,0,1.78672e+41,1.26555,8.38572
40.4,0,1.76008e+41,1.25772,8.35277
40.5,0,1.73344e+41,1.24989,8.31982
40.6,0,1.7068e+41,1.24206,8.28687
40.7,0,1.68016e+41,1.23423,8.25392
40.8,0,1.65353e+41,1.2264,8.22097
40.9,0,1.62689e+41,1.21857,8.18802
41,0,1.60025e+41,1.21074,8.15507
41.1,0,1.57361e+41,1.2029,8.12212
41.2,0,1.54697e+41,1.19507,8.08917
41.3,0,1.52033e+41,1.18724,8.05622
41.4,0,1.4937e+41,1.17941,8.02327
41.5,0,1.46706e+41,1.17158,7.99033
41.6,0,1.44042e+41,1.16375,7.95738
41.7,0,1.41378e+41,1.15592,7.92443
41.8,0,1.38714e+41,1.14809,7.89148
41.9,0,1.3605e+41,1.14026,7.85853
42,0,1.33386e+41,1.13243,7.82558
42.1,0,1.30723e+41,1.1246,7.79263
42.2,0,1.28059e+41,1.11676,7.75968
42.3,0,1.25395e+41,1.10893,7.72673
42.4,0,1.22731e+41,1.1011,7.69378
42.5,0,1.20067e+41,1.09327,7.66083
