Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Nitrogen
================================================================================
Byte-by-byte Description of file: datafile1G.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     N{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     N{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     N{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     N{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     N{4+}        Ionic Cooling efficiency (column 6)
  55- 62 A8     ---     N{5+}        Ionic Cooling efficiency (column 7)
  64- 71 A8     ---     N{6+}        Ionic Cooling efficiency (column 8)
  73- 80 A8     ---     N{7+}        Ionic Cooling efficiency (column 9)
  82- 89 A8     ---     N{CIE}       CIE Cooling efficiency (column 10)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
1.13e+06 2.78e-18 2.89e-18 1.64e-18 1.32e-18 7.50e-19 4.99e-21 1.84e-21 2.80e-22 5.26e-21
1.19e+06 2.83e-18 2.91e-18 1.65e-18 1.33e-18 7.52e-19 6.09e-21 2.30e-21 2.84e-22 5.90e-21
1.25e+06 2.89e-18 2.94e-18 1.67e-18 1.34e-18 7.53e-19 7.38e-21 2.86e-21 2.89e-22 6.56e-21
1.32e+06 2.94e-18 2.96e-18 1.68e-18 1.35e-18 7.54e-19 8.84e-21 3.52e-21 2.94e-22 7.22e-21
1.39e+06 2.98e-18 2.98e-18 1.69e-18 1.35e-18 7.56e-19 1.05e-20 4.30e-21 2.98e-22 7.84e-21
1.46e+06 3.03e-18 3.00e-18 1.70e-18 1.36e-18 7.57e-19 1.23e-20 5.21e-21 3.03e-22 8.40e-21
1.54e+06 3.08e-18 3.02e-18 1.71e-18 1.36e-18 7.59e-19 1.44e-20 6.26e-21 3.08e-22 8.87e-21
1.62e+06 3.12e-18 3.04e-18 1.72e-18 1.37e-18 7.60e-19 1.67e-20 7.46e-21 3.12e-22 9.20e-21
1.70e+06 3.16e-18 3.05e-18 1.73e-18 1.37e-18 7.61e-19 1.92e-20 8.81e-21 3.17e-22 9.37e-21
1.79e+06 3.20e-18 3.06e-18 1.74e-18 1.38e-18 7.62e-19 2.20e-20 1.03e-20 3.22e-22 9.37e-21
1.89e+06 3.24e-18 3.07e-18 1.74e-18 1.38e-18 7.64e-19 2.50e-20 1.20e-20 3.27e-22 9.22e-21
1.99e+06 3.28e-18 3.08e-18 1.75e-18 1.38e-18 7.65e-19 2.82e-20 1.39e-20 3.32e-22 8.93e-21
2.09e+06 3.32e-18 3.09e-18 1.75e-18 1.39e-18 7.66e-19 3.16e-20 1.59e-20 3.37e-22 8.53e-21
2.20e+06 3.35e-18 3.09e-18 1.76e-18 1.39e-18 7.67e-19 3.53e-20 1.81e-20 3.42e-22 8.05e-21
2.32e+06 3.38e-18 3.09e-18 1.76e-18 1.39e-18 7.68e-19 3.92e-20 2.05e-20 3.47e-22 7.53e-21
2.44e+06 3.41e-18 3.09e-18 1.76e-18 1.39e-18 7.69e-19 4.33e-20 2.31e-20 3.52e-22 6.99e-21
2.57e+06 3.44e-18 3.09e-18 1.76e-18 1.39e-18 7.70e-19 4.76e-20 2.59e-20 3.57e-22 6.46e-21
2.70e+06 3.47e-18 3.09e-18 1.76e-18 1.39e-18 7.71e-19 5.22e-20 2.89e-20 3.62e-22 5.96e-21
2.84e+06 3.49e-18 3.09e-18 1.76e-18 1.39e-18 7.72e-19 5.69e-20 3.20e-20 3.67e-22 5.49e-21
2.99e+06 3.51e-18 3.08e-18 1.76e-18 1.38e-18 7.73e-19 6.19e-20 3.53e-20 3.72e-22 5.05e-21
3.15e+06 3.53e-18 3.07e-18 1.75e-18 1.38e-18 7.74e-19 6.70e-20 3.87e-20 3.77e-22 4.65e-21
3.32e+06 3.55e-18 3.06e-18 1.75e-18 1.38e-18 7.75e-19 7.23e-20 4.23e-20 3.83e-22 4.29e-21
3.49e+06 3.57e-18 3.05e-18 1.75e-18 1.38e-18 7.75e-19 7.78e-20 4.61e-20 3.89e-22 3.96e-21
3.68e+06 3.58e-18 3.04e-18 1.74e-18 1.37e-18 7.76e-19 8.34e-20 4.99e-20 3.95e-22 3.66e-21
3.87e+06 3.60e-18 3.03e-18 1.73e-18 1.37e-18 7.76e-19 8.92e-20 5.39e-20 4.01e-22 3.40e-21
4.07e+06 3.61e-18 3.01e-18 1.73e-18 1.36e-18 7.77e-19 9.50e-20 5.80e-20 4.07e-22 3.16e-21
4.29e+06 3.62e-18 3.00e-18 1.72e-18 1.36e-18 7.77e-19 1.01e-19 6.22e-20 4.13e-22 2.94e-21
