 20061204
18 21      43.3         1  3.48e-08      0.39      0.23
18 22      65.3         1  8.98e-09      0.14      0.37
18 23      90.6         1   5.5e-09     0.143      0.37
18 24     119.3         1  3.65e-09     0.147      0.37
18 25     151.1         1  4.71e-09      0.28      0.28
18 26     186.1         1  1.78e-09     0.112      0.42
18 27       225         0  2.41e-09     0.027      0.79
18 28     266.1         0  2.41e-09     0.027      0.79
18 29     310.8         0  2.41e-09     0.027      0.79
19 19       6.1         0   4.4e-07     0.848      0.33
19 20      12.8         1  8.61e-08     0.181      0.25
19 21      27.5         1  2.85e-08     0.227      0.21
19 22      46.7         0  5.32e-08      1.11      0.16
19 23      69.5         0  3.25e-08      1.36      0.13
19 24        95         0  2.15e-08      1.54      0.11
19 25       125         1  9.47e-09     0.458      0.21
19 26       158         0  1.17e-08      1.98      0.07
19 27       193         0  9.24e-09      2.25      0.05
19 28       232         0  9.24e-09      2.25      0.05
19 29       274         0  9.24e-09      2.25      0.05
20 20       6.6         1  3.16e-07     0.204      0.28
20 21      13.6         0  2.14e-07      0.88      0.28
20 22      29.3         1   3.5e-08     0.247      0.25
20 23      49.1         1  1.52e-08     0.182       0.3
20 24      72.4         1  8.22e-09     0.161      0.32
20 25        99         1  1.23e-08     0.411      0.21
20 26       129         1  3.58e-09     0.194      0.29
20 27       162         1  2.45e-09     0.163      0.32
20 28       199         1  2.45e-09     0.163      0.32
20 29       238         1  2.45e-09     0.163      0.32
21 21       6.8         1   1.6e-07      0.36      0.28
21 22      14.7         0  3.11e-07     0.432      0.29
21 23        31         0  1.09e-07     0.518      0.27
21 24      51.2         1   1.8e-08     0.272      0.18
21 25        75         1  1.04e-08     0.285      0.17
21 26       102         0  1.27e-08     0.126      0.47
21 27       133         0  8.68e-09     0.138      0.46
21 28       167         0  8.68e-09     0.138      0.46
21 29       203         0  8.68e-09     0.138      0.46
22 22       6.7         0  8.82e-07     0.359      0.32
22 23      16.5         0  2.45e-07     0.381      0.32
22 24      33.7         0  8.54e-08     0.397      0.32
22 25      54.8         0  3.53e-08     0.243      0.39
22 26      79.5         0  1.93e-08     0.195      0.42
22 27       108         0  1.16e-08     0.185      0.44
22 28       139         0  1.16e-08     0.185      0.44
22 29       175         0  1.16e-08     0.185      0.44
23 23       6.8         1  1.03e-07     0.217      0.27
23 24      15.6         0  1.18e-07     0.359      0.19
23 25      30.6         0   4.1e-08     0.366      0.17
23 26      51.3         0  2.27e-08     0.574       0.1
