# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         7.0500   0.000000e+00   5.318930e-24   2.155024e-23   4.924682e-23   8.913947e-23   1.433404e-22   2.101981e-22   3.371416e-22   4.394396e-22
         7.1000   0.000000e+00   5.634097e-24   2.276100e-23   5.191823e-23   9.378637e-23   1.503816e-22   2.201785e-22   3.564892e-22   4.664154e-22
         7.1500   0.000000e+00   5.967938e-24   2.404824e-23   5.476472e-23   9.874813e-23   1.579114e-22   2.308498e-22   3.759627e-22   4.937399e-22
         7.2000   0.000000e+00   6.321560e-24   2.541617e-23   5.779584e-23   1.040424e-22   1.659622e-22   2.422617e-22   3.955282e-22   5.212878e-22
         7.2500   0.000000e+00   6.696136e-24   2.686929e-23   6.102159e-23   1.096875e-22   1.745658e-22   2.544650e-22   4.151900e-22   5.489781e-22
         7.3000   0.000000e+00   7.092907e-24   2.841239e-23   6.445267e-23   1.157026e-22   1.837547e-22   2.675111e-22   4.350053e-22   5.767944e-22
         7.3500   0.000000e+00   7.513188e-24   3.005275e-23   6.810031e-23   1.221077e-22   1.935618e-22   2.814504e-22   4.550699e-22   6.047861e-22
         7.4000   0.000000e+00   7.958373e-24   3.183349e-23   7.197641e-23   1.289239e-22   2.040213e-22   2.963345e-22   4.755201e-22   6.330657e-22
         7.4500   0.000000e+00   8.429936e-24   3.371974e-23   7.609373e-23   1.361740e-22   2.151690e-22   3.122164e-22   4.965187e-22   6.618037e-22
         7.5000   0.000000e+00   8.929441e-24   3.571776e-23   8.046584e-23   1.438816e-22   2.270421e-22   3.291512e-22   5.182530e-22   6.912167e-22
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23   8.512690e-23   1.520719e-22   2.396801e-22   3.471959e-22   5.409151e-22   7.215563e-22
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23   9.017098e-23   1.607719e-22   2.531249e-22   3.664111e-22   5.647095e-22   7.530938e-22
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23   9.551395e-23   1.700101e-22   2.674206e-22   3.868603e-22   5.898414e-22   7.861126e-22
         7.7000   0.000000e+00   1.124150e-23   4.496600e-23   1.011735e-22   1.798640e-22   2.826139e-22   4.086111e-22   6.165060e-22   8.209013e-22
         7.7500   0.000000e+00   1.190760e-23   4.763041e-23   1.071684e-22   1.905216e-22   2.987546e-22   4.317350e-22   6.448774e-22   8.577524e-22
         7.8000   0.000000e+00   1.261317e-23   5.045268e-23   1.135185e-22   2.018107e-22   3.158960e-22   4.563072e-22   6.751392e-22   8.969167e-22
