# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         6.1500   0.000000e+00   1.931698e-24   8.014013e-24   2.119797e-23   3.861096e-23   6.095245e-23   8.772505e-23   1.186301e-22   1.534321e-22   1.897875e-22   2.314145e-22   2.485202e-22   2.926001e-22   3.400106e-22   3.899562e-22   4.440259e-22   5.014459e-22   5.609355e-22   6.257141e-22   6.428974e-22   7.108255e-22
         6.2000   0.000000e+00   2.037682e-24   8.420000e-24   2.216887e-23   4.054561e-23   6.430866e-23   9.309243e-23   1.263168e-22   1.638301e-22   2.033580e-22   2.482216e-22   2.664944e-22   3.136263e-22   3.642865e-22   4.175817e-22   4.752924e-22   5.365513e-22   5.999146e-22   6.690102e-22   6.837655e-22   7.558862e-22
         6.2500   0.000000e+00   2.150535e-24   8.853960e-24   2.316015e-23   4.249408e-23   6.768117e-23   9.852706e-23   1.341700e-22   1.745560e-22   2.175900e-22   2.659669e-22   2.858968e-22   3.363234e-22   3.904883e-22   4.473905e-22   5.090203e-22   5.744084e-22   6.419296e-22   7.156649e-22   7.274552e-22   8.040444e-22
         6.3000   0.000000e+00   2.270630e-24   9.317542e-24   2.417994e-23   4.446508e-23   7.106956e-23   1.040044e-22   1.421380e-22   1.855353e-22   2.324034e-22   2.845756e-22   3.068361e-22   3.608237e-22   4.187725e-22   4.795639e-22   5.454161e-22   6.152498e-22   6.872388e-22   7.659649e-22   7.741867e-22   8.555395e-22
         6.3500   0.000000e+00   2.398365e-24   9.812439e-24   2.523740e-23   4.647143e-23   7.448237e-23   1.095096e-22   1.501812e-22   1.966949e-22   2.477021e-22   3.039428e-22   3.294235e-22   3.872639e-22   4.493033e-22   5.142942e-22   5.847009e-22   6.593249e-22   7.361206e-22   8.202193e-22   8.242002e-22   9.106334e-22
         6.4000   0.000000e+00   2.534157e-24   1.034040e-23   2.634191e-23   4.852871e-23   7.793501e-23   1.150399e-22   1.582704e-22   2.079738e-22   2.633789e-22   3.239429e-22   3.537665e-22   4.157834e-22   4.822498e-22   5.517833e-22   6.271080e-22   7.069009e-22   7.888736e-22   8.787609e-22   8.777588e-22   9.696124e-22
         6.4500   0.000000e+00   2.678450e-24   1.090323e-23   2.750334e-23   5.065505e-23   8.145002e-23   1.206064e-22   1.663964e-22   2.193255e-22   2.793294e-22   3.444355e-22   3.799667e-22   4.465165e-22   5.177841e-22   5.922391e-22   6.728821e-22   7.582578e-22   8.458170e-22   9.419460e-22   9.351489e-22   1.032789e-21
         6.5000   0.000000e+00   2.831719e-24   1.150282e-23   2.873165e-23   5.286929e-23   8.505481e-23   1.262321e-22   1.745672e-22   2.307308e-22   2.954615e-22   3.652843e-22   4.081067e-22   4.795891e-22   5.560707e-22   6.358732e-22   7.222738e-22   8.136890e-22   9.072857e-22   1.010153e-21   9.966832e-22   1.100504e-21
         6.5500   0.000000e+00   2.994469e-24   1.214119e-23   3.003584e-23   5.519144e-23   8.878115e-23   1.319519e-22   1.828114e-22   2.421924e-22   3.117063e-22   3.863696e-22   4.382455e-22   5.151026e-22   5.972620e-22   6.828884e-22   7.755365e-22   8.734939e-22   9.736300e-22   1.083778e-21   1.062704e-21   1.173128e-21
         6.6000   0.000000e+00   3.168285e-24   1.282043e-23   3.142439e-23   5.764160e-23   9.266206e-23   1.378092e-22   1.911735e-22   2.537443e-22   3.280295e-22   4.076010e-22   4.704009e-22   5.531267e-22   6.414797e-22   7.334729e-22   8.329112e-22   9.379702e-22   1.045207e-21   1.163229e-21   1.133584e-21   1.251071e-21
