# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         5.9000   0.000000e+00   3.072971e-18   6.626533e-19   7.152434e-19   5.730710e-19   5.367800e-19   6.986021e-19   6.489425e-19   5.699971e-19   3.275152e-19   1.565969e-27   1.127050e-28   0.000000e+00
         5.9500   0.000000e+00   3.025630e-18   7.223487e-19   7.791478e-19   6.188151e-19   5.723564e-19   7.544571e-19   6.888504e-19   5.923835e-19   3.327340e-19   1.254486e-26   1.109505e-27   0.000000e+00
         6.0000   0.000000e+00   2.973639e-18   7.784303e-19   8.394232e-19   6.624011e-19   6.068649e-19   8.100468e-19   7.286557e-19   6.146419e-19   3.387259e-19   7.987124e-26   8.486660e-27   0.000000e+00
         6.0500   0.000000e+00   2.917638e-18   8.302606e-19   8.955484e-19   7.033181e-19   6.398101e-19   8.643176e-19   7.677298e-19   6.366305e-19   3.455093e-19   4.144450e-25   5.186930e-26   0.000000e+00
         6.1000   0.000000e+00   2.858311e-18   8.773814e-19   9.471448e-19   7.411958e-19   6.707683e-19   9.163618e-19   8.054045e-19   6.580950e-19   3.529909e-19   1.792393e-24   2.596894e-25   0.000000e+00
         6.1500   0.000000e+00   2.796292e-18   9.194968e-19   9.939556e-19   7.757985e-19   6.994034e-19   9.653979e-19   8.410338e-19   6.787017e-19   3.610039e-19   6.591393e-24   1.088845e-24   0.000000e+00
         6.2000   0.000000e+00   2.732152e-18   9.564564e-19   1.035828e-18   8.070094e-19   7.254878e-19   1.010782e-18   8.740871e-19   6.980747e-19   3.693451e-19   2.098109e-23   3.899065e-24   0.000000e+00
         6.2500   0.000000e+00   2.666340e-18   9.882360e-19   1.072720e-18   8.348114e-19   7.488924e-19   1.052015e-18   9.041459e-19   7.158486e-19   3.778169e-19   5.873161e-23   1.213346e-23   0.000000e+00
         6.3000   0.000000e+00   2.599092e-18   1.014930e-18   1.104745e-18   8.592618e-19   7.695760e-19   1.088744e-18   9.308902e-19   7.318004e-19   3.862681e-19   1.466421e-22   3.332160e-23   0.000000e+00
         6.3500   0.000000e+00   2.530672e-18   1.036776e-18   1.132068e-18   8.804660e-19   7.875588e-19   1.120753e-18   9.540984e-19   7.457866e-19   3.946065e-19   3.307482e-22   8.186767e-23   0.000000e+00
