# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         4.6000   0.000000e+00   3.757659e-25   1.383593e-24   2.932586e-24   5.003716e-24   7.683138e-24   1.092049e-23   1.472596e-23   1.910613e-23   2.402165e-23   2.965636e-23   3.588420e-23   4.270516e-23   5.011925e-23   5.812646e-23   6.672681e-23   7.592028e-23   8.570688e-23   9.608661e-23   1.070595e-22   1.186254e-22   1.307845e-22   1.435368e-22   1.568821e-22   1.708206e-22   1.853522e-22   2.004770e-22
         4.6500   0.000000e+00   4.035681e-25   1.483840e-24   3.136367e-24   5.338458e-24   8.187712e-24   1.162713e-23   1.566819e-23   2.031836e-23   2.544502e-23   3.141361e-23   3.801047e-23   4.523560e-23   5.308900e-23   6.157067e-23   7.068062e-23   8.041884e-23   9.078533e-23   1.017801e-22   1.134031e-22   1.256544e-22   1.385340e-22   1.520419e-22   1.661780e-22   1.809424e-22   1.963351e-22   2.123560e-22
         4.7000   0.000000e+00   4.332914e-25   1.592048e-24   3.356020e-24   5.698172e-24   8.728965e-24   1.238397e-23   1.667618e-23   2.161404e-23   2.696004e-23   3.327498e-23   4.026273e-23   4.791598e-23   5.623472e-23   6.521897e-23   7.486871e-23   8.518396e-23   9.616470e-23   1.078109e-22   1.201227e-22   1.330999e-22   1.467427e-22   1.610509e-22   1.760247e-22   1.916639e-22   2.079686e-22   2.249389e-22
         4.7500   0.000000e+00   4.649339e-25   1.708817e-24   3.592894e-24   6.084971e-24   9.309948e-24   1.319511e-23   1.775513e-23   2.299963e-23   2.865611e-23   3.525615e-23   4.264845e-23   5.075518e-23   5.956684e-23   6.908343e-23   7.930496e-23   9.023142e-23   1.018628e-22   1.141991e-22   1.272404e-22   1.409866e-22   1.554377e-22   1.705938e-22   1.864548e-22   2.030207e-22   2.202916e-22   2.382674e-22
         4.8000   0.000000e+00   4.984355e-25   1.834753e-24   3.848445e-24   6.501163e-24   9.933983e-24   1.406497e-23   1.891074e-23   2.448220e-23   3.046732e-23   3.747412e-23   4.520485e-23   5.376261e-23   6.309639e-23   7.317688e-23   8.400408e-23   9.557797e-23   1.078986e-22   1.209659e-22   1.347799e-22   1.493406e-22   1.646480e-22   1.807021e-22   1.975029e-22   2.150504e-22   2.333447e-22   2.523856e-22
         4.8500   0.000000e+00   5.336817e-25   1.970436e-24   4.124235e-24   6.949256e-24   1.060469e-23   1.499843e-23   2.014923e-23   2.606948e-23   3.240245e-23   3.984268e-23   4.805019e-23   5.695951e-23   6.683509e-23   7.751289e-23   8.898163e-23   1.012413e-22   1.142920e-22   1.281335e-22   1.427661e-22   1.581896e-22   1.744040e-22   1.914094e-22   2.092057e-22   2.277930e-22   2.471712e-22   2.673404e-22
         4.9000   0.000000e+00   5.704934e-25   2.116401e-24   4.421932e-24   7.431973e-24   1.132603e-23   1.600079e-23   2.147737e-23   2.776992e-23   3.447101e-23   4.237327e-23   5.108886e-23   6.054250e-23   7.086606e-23   8.210581e-23   9.425412e-23   1.072402e-22   1.210642e-22   1.357259e-22   1.512255e-22   1.675629e-22   1.847381e-22   2.027511e-22   2.216019e-22   2.412906e-22   2.618170e-22   2.831813e-22
         4.9500   0.000000e+00   6.086460e-25   2.273074e-24   4.743287e-24   7.952273e-24   1.210232e-23   1.707783e-23   2.290259e-23   2.959271e-23   3.668337e-23   4.507835e-23   5.433561e-23   6.436870e-23   7.532873e-23   8.714144e-23   9.983903e-23   1.135946e-22   1.282377e-22   1.437682e-22   1.601862e-22   1.774916e-22   1.956845e-22   2.147648e-22   2.347327e-22   2.555879e-22   2.773306e-22   2.999608e-22
         5.0000   0.000000e+00   6.478744e-25   2.440718e-24   5.090131e-24   8.513357e-24   1.293824e-23   1.823586e-23   2.443300e-23   3.154790e-23   3.905088e-23   4.797149e-23   5.780642e-23   6.845662e-23   8.009488e-23   9.263622e-23   1.058437e-22   1.203255e-22   1.358362e-22   1.522870e-22   1.696778e-22   1.880087e-22   2.072795e-22   2.274905e-22   2.486414e-22   2.707325e-22   2.937635e-22   3.177346e-22
         5.0500   0.000000e+00   6.879142e-25   2.619377e-24   5.464334e-24   9.118670e-24   1.383889e-23   1.948178e-23   2.607741e-23   3.364649e-23   4.158594e-23   5.106751e-23   6.151876e-23   7.282635e-23   8.518766e-23   9.850547e-23   1.125076e-22   1.277398e-22   1.438851e-22   1.613106e-22   1.797318e-22   1.991489e-22   2.195616e-22   2.409701e-22   2.633744e-22   2.867744e-22   3.111701e-22   3.365616e-22
