# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         6.4000   1.579078e-19   4.118187e-19   1.019219e-18   4.120193e-19   1.440904e-18   9.857980e-19   9.905425e-19   5.511144e-19   6.689388e-21   3.754768e-21   1.934532e-21
         6.4500   1.527194e-19   3.971402e-19   1.022902e-18   4.066099e-19   1.446060e-18   9.322960e-19   9.911685e-19   5.568111e-19   9.893870e-21   4.870610e-21   1.877149e-21
         6.5000   1.472728e-19   3.821079e-19   1.024230e-18   4.008436e-19   1.446844e-18   8.747546e-19   9.891275e-19   5.619689e-19   1.419248e-20   6.438028e-21   1.825496e-21
         6.5500   1.416606e-19   3.668926e-19   1.023309e-18   3.947518e-19   1.443644e-18   8.146557e-19   9.846485e-19   5.665876e-19   1.970630e-20   8.511532e-21   1.779421e-21
         6.6000   1.359603e-19   3.516398e-19   1.020246e-18   3.883628e-19   1.436821e-18   7.531237e-19   9.779358e-19   5.707090e-19   2.650498e-20   1.111729e-20   1.738785e-21
         6.6500   1.302362e-19   3.364717e-19   1.015157e-18   3.817024e-19   1.426712e-18   6.905124e-19   9.691756e-19   5.743440e-19   3.460057e-20   1.424880e-20   1.703480e-21
         6.7000   1.245410e-19   3.214894e-19   1.008159e-18   3.747953e-19   1.413635e-18   6.272982e-19   9.585425e-19   5.773423e-19   4.394740e-20   1.786719e-20   1.673391e-21
         6.7500   1.189171e-19   3.067752e-19   9.993778e-19   3.676653e-19   1.397892e-18   5.642515e-19   9.462261e-19   5.795980e-19   5.444810e-20   2.190658e-20   1.648386e-21
         6.8000   1.133983e-19   2.923953e-19   9.889392e-19   3.603356e-19   1.379783e-18   5.022590e-19   9.324372e-19   5.810843e-19   6.596325e-20   2.628154e-20   1.628357e-21
         6.8500   1.080110e-19   2.784012e-19   9.769733e-19   3.528294e-19   1.359584e-18   4.421909e-19   9.173470e-19   5.819306e-19   7.832271e-20   3.089502e-20   1.613249e-21
         6.9000   1.027750e-19   2.648324e-19   9.636113e-19   3.451696e-19   1.337543e-18   3.850679e-19   9.010958e-19   5.818638e-19   9.133697e-20   3.564633e-20   1.602967e-21
         6.9500   9.770537e-20   2.517176e-19   9.489841e-19   3.373790e-19   1.313887e-18   3.328981e-19   8.838062e-19   5.808477e-19   1.048066e-19   4.043811e-20   1.597286e-21
         7.0000   9.281239e-20   2.390767e-19   9.332218e-19   3.294802e-19   1.288828e-18   2.869626e-19   8.655921e-19   5.788588e-19   1.185256e-19   4.518144e-20   1.595973e-21
         7.0500   8.810291e-20   2.269219e-19   9.164516e-19   3.214954e-19   1.262562e-18   2.475410e-19   8.465871e-19   5.758861e-19   1.322939e-19   4.979907e-20   1.598834e-21
         7.1000   8.358080e-20   2.152594e-19   8.987975e-19   3.134464e-19   1.235272e-18   2.143254e-19   8.269614e-19   5.723369e-19   1.459262e-19   5.422691e-20   1.605667e-21
         7.1500   7.924753e-20   2.040900e-19   8.803791e-19   3.053545e-19   1.207158e-18   1.867019e-19   8.068611e-19   5.679340e-19   1.592569e-19   5.841417e-20   1.616154e-21
         7.2000   7.510260e-20   1.934104e-19   8.613106e-19   2.972401e-19   1.178460e-18   1.639324e-19   7.864080e-19   5.626257e-19   1.721420e-19   6.232307e-20   1.629754e-21
         7.2500   7.114401e-20   1.832139e-19   8.417009e-19   2.891228e-19   1.149379e-18   1.452649e-19   7.657065e-19   5.564522e-19   1.844571e-19   6.592796e-20   1.645857e-21
         7.3000   6.736849e-20   1.734909e-19   8.216524e-19   2.810213e-19   1.120069e-18   1.297132e-19   7.448484e-19   5.494646e-19   1.960812e-19   6.921345e-20   1.664078e-21
         7.3500   6.377186e-20   1.642299e-19   8.012613e-19   2.729533e-19   1.090655e-18   1.153658e-19   7.239153e-19   5.417193e-19   2.069138e-19   7.217250e-20   1.684145e-21
         7.4000   6.034922e-20   1.554177e-19   7.806172e-19   2.649352e-19   1.061236e-18   1.010821e-19   7.029806e-19   5.332765e-19   2.168838e-19   7.480477e-20   1.705780e-21
         7.4500   5.709514e-20   1.470400e-19   7.598030e-19   2.569825e-19   1.031895e-18   8.656095e-20   6.821175e-19   5.242014e-19   2.259459e-19   7.711530e-20   1.728719e-21
         7.5000   5.400379e-20   1.390815e-19   7.388950e-19   2.491093e-19   1.002692e-18   7.192181e-20   6.613959e-19   5.149637e-19   2.340772e-19   7.911303e-20   1.752891e-21
         7.5500   5.106914e-20   1.315265e-19   7.179632e-19   2.413285e-19   9.736790e-19   5.745576e-20   6.408664e-19   5.052369e-19   2.412732e-19   8.080944e-20   1.778416e-21
         7.6000   4.828499e-20   1.243590e-19   6.970714e-19   2.336520e-19   9.449010e-19   4.379028e-20   6.205665e-19   4.950894e-19   2.475445e-19   8.221780e-20   1.805400e-21
         7.6500   4.564507e-20   1.175628e-19   6.762771e-19   2.260905e-19   9.164003e-19   3.269200e-20   6.005268e-19   4.845879e-19   2.529146e-19   8.335271e-20   1.834056e-21
         7.7000   4.314314e-20   1.111218e-19   6.556323e-19   2.186533e-19   8.882165e-19   2.587179e-20   5.807738e-19   4.737968e-19   2.574192e-19   8.422933e-20   1.864875e-21
         7.7500   4.077303e-20   1.050199e-19   6.351835e-19   2.113487e-19   8.603869e-19   2.171036e-20   5.613369e-19   4.627722e-19   2.611018e-19   8.486277e-20   1.898469e-21
         7.8000   3.852863e-20   9.924174e-20   6.149719e-19   2.041841e-19   8.329466e-19   1.966646e-20   5.422499e-19   4.515635e-19   2.640106e-19   8.526798e-20   1.935372e-21
         7.8500   3.640402e-20   9.377182e-20   5.950342e-19   1.971658e-19   8.059284e-19   2.070975e-20   5.235367e-19   4.402166e-19   2.661973e-19   8.545966e-20   1.976080e-21
         7.9000   3.439339e-20   8.859531e-20   5.754022e-19   1.902989e-19   7.793621e-19   2.341836e-20   5.052148e-19   4.287710e-19   2.677163e-19   8.545227e-20   2.021106e-21
         7.9500   3.249115e-20   8.369781e-20   5.561037e-19   1.835881e-19   7.532749e-19   2.718973e-20   4.872972e-19   4.172630e-19   2.686251e-19   8.525989e-20   2.071017e-21
         8.0000   3.069188e-20   7.906538e-20   5.371627e-19   1.770367e-19   7.276908e-19   3.154548e-20   4.697945e-19   4.057270e-19   2.689877e-19   8.489624e-20   2.126313e-21
         8.0500   2.899037e-20   7.468463e-20   5.185995e-19   1.706478e-19   7.026314e-19   3.611501e-20   4.527160e-19   3.941955e-19   2.688683e-19   8.437472e-20   2.187502e-21
         8.1000   2.738160e-20   7.054267e-20   5.004312e-19   1.644232e-19   6.781146e-19   4.062585e-20   4.360680e-19   3.826988e-19   2.683281e-19   8.370835e-20   2.255108e-21
         8.1500   2.586077e-20   6.662716e-20   4.826716e-19   1.583645e-19   6.541561e-19   4.488875e-20   4.198561e-19   3.712660e-19   2.674256e-19   8.290983e-20   2.329595e-21
         8.2000   2.442330e-20   6.292628e-20   4.653322e-19   1.524723e-19   6.307682e-19   4.878158e-20   4.040845e-19   3.599847e-19   2.662177e-19   8.199156e-20   2.411398e-21
         8.2500   2.306478e-20   5.942876e-20   4.484216e-19   1.467471e-19   6.079609e-19   5.223409e-20   3.887562e-19   3.488664e-19   2.647582e-19   8.096555e-20   2.500972e-21
         8.3000   2.178104e-20   5.612382e-20   4.319464e-19   1.411884e-19   5.857416e-19   5.521464e-20   3.738724e-19   3.378834e-19   2.630976e-19   7.984342e-20   2.598751e-21
         8.3500   2.056808e-20   5.300120e-20   4.159110e-19   1.357957e-19   5.641151e-19   5.771930e-20   3.594334e-19   3.270552e-19   2.612847e-19   7.863648e-20   2.705122e-21
