# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         7.5000   0.000000e+00   1.748558e-18   1.467702e-18   1.060345e-18   1.143220e-18   1.046712e-18   1.089115e-18   1.040701e-18   8.977900e-19   7.110669e-19   5.320689e-19   4.082374e-19   1.240545e-19   5.531135e-20   4.484724e-21
         7.5500   0.000000e+00   1.686836e-18   1.410336e-18   1.021177e-18   1.117527e-18   1.025611e-18   1.066112e-18   1.017712e-18   8.779516e-19   6.945945e-19   5.188154e-19   4.056994e-19   1.326417e-19   5.815192e-20   4.529634e-21
         7.6000   0.000000e+00   1.626545e-18   1.354776e-18   9.830633e-19   1.091358e-18   1.003823e-18   1.042506e-18   9.941351e-19   8.576849e-19   6.777916e-19   5.054630e-19   4.023543e-19   1.406962e-19   6.069040e-20   4.580250e-21
         7.6500   0.000000e+00   1.567717e-18   1.301002e-18   9.460037e-19   1.064828e-18   9.814547e-19   1.018401e-18   9.701687e-19   8.370796e-19   6.607259e-19   4.920645e-19   3.982509e-19   1.481603e-19   6.292567e-20   4.635849e-21
         7.7000   0.000000e+00   1.510377e-18   1.248991e-18   9.099988e-19   1.038041e-18   9.586096e-19   9.938942e-19   9.459667e-19   8.162280e-19   6.434618e-19   4.786586e-19   3.934396e-19   1.549948e-19   6.486292e-20   4.695631e-21
         7.7500   0.000000e+00   1.454543e-18   1.198717e-18   8.750470e-19   1.011088e-18   9.353850e-19   9.690888e-19   9.216493e-19   7.952118e-19   6.260714e-19   4.652762e-19   3.879757e-19   1.611767e-19   6.651265e-20   4.758941e-21
         7.8000   0.000000e+00   1.400227e-18   1.150149e-18   8.411441e-19   9.840565e-19   9.118733e-19   9.440924e-19   8.973122e-19   7.741015e-19   6.086500e-19   4.519445e-19   3.823148e-19   1.666966e-19   6.788914e-20   4.825663e-21
         7.8500   0.000000e+00   1.347433e-18   1.103256e-18   8.082831e-19   9.570213e-19   8.881613e-19   9.189954e-19   8.730299e-19   7.529595e-19   5.912760e-19   4.386808e-19   3.761937e-19   1.715565e-19   6.900828e-20   4.896160e-21
         7.9000   0.000000e+00   1.296161e-18   1.058004e-18   7.764548e-19   9.300530e-19   8.643300e-19   8.938743e-19   8.488495e-19   7.318424e-19   5.740085e-19   4.254973e-19   3.695943e-19   1.757674e-19   6.988704e-20   4.970716e-21
         7.9500   0.000000e+00   1.246406e-18   1.014359e-18   7.456481e-19   9.032149e-19   8.404547e-19   8.687962e-19   8.248077e-19   7.108039e-19   5.568938e-19   4.124135e-19   3.625838e-19   1.793482e-19   7.054361e-20   5.050017e-21
         8.0000   0.000000e+00   1.198160e-18   9.722817e-19   7.158496e-19   8.765649e-19   8.166047e-19   8.438210e-19   8.009397e-19   6.899011e-19   5.399692e-19   3.994533e-19   3.552275e-19   1.823221e-19   7.099634e-20   5.135497e-21
         8.0500   0.000000e+00   1.151409e-18   9.317357e-19   6.870443e-19   8.501551e-19   7.928438e-19   8.190030e-19   7.772799e-19   6.691828e-19   5.232660e-19   3.866420e-19   3.475819e-19   1.847168e-19   7.126265e-20   5.228837e-21
         8.1000   0.000000e+00   1.106138e-18   8.926819e-19   6.592155e-19   8.240327e-19   7.692299e-19   7.943919e-19   7.538611e-19   6.486878e-19   5.068089e-19   3.740043e-19   3.396954e-19   1.865643e-19   7.135886e-20   5.331461e-21
         8.1500   0.000000e+00   1.062328e-18   8.550809e-19   6.323452e-19   7.982399e-19   7.458151e-19   7.700334e-19   7.307153e-19   6.284487e-19   4.906164e-19   3.615714e-19   3.316142e-19   1.879006e-19   7.130053e-20   5.444735e-21
         8.2000   0.000000e+00   1.019956e-18   8.188930e-19   6.064140e-19   7.728145e-19   7.226465e-19   7.459684e-19   7.078727e-19   6.084940e-19   4.747033e-19   3.493757e-19   3.233785e-19   1.887644e-19   7.110262e-20   5.570090e-21
         8.2500   0.000000e+00   9.789997e-19   7.840784e-19   5.814016e-19   7.477898e-19   6.997662e-19   7.222337e-19   6.853628e-19   5.888489e-19   4.590822e-19   3.374373e-19   3.150264e-19   1.891965e-19   7.077916e-20   5.709071e-21
         8.3000   0.000000e+00   9.394331e-19   7.505970e-19   5.572872e-19   7.231952e-19   6.772115e-19   6.988625e-19   6.632105e-19   5.695366e-19   4.437644e-19   3.257687e-19   3.065953e-19   1.892427e-19   7.034344e-20   5.863038e-21
         8.3500   0.000000e+00   9.012291e-19   7.184090e-19   5.340494e-19   6.990563e-19   6.550152e-19   6.758844e-19   6.414398e-19   5.505784e-19   4.287605e-19   3.143776e-19   2.981202e-19   1.889517e-19   6.980808e-20   6.033396e-21
         8.4000   0.000000e+00   8.643592e-19   6.874748e-19   5.116662e-19   6.753950e-19   6.332060e-19   6.533254e-19   6.200722e-19   5.319909e-19   4.140826e-19   3.032694e-19   2.896334e-19   1.883698e-19   6.918497e-20   6.221579e-21
         8.4500   0.000000e+00   8.287938e-19   6.577550e-19   4.901154e-19   6.522301e-19   6.118085e-19   6.312080e-19   5.991269e-19   5.137902e-19   3.997368e-19   2.924512e-19   2.811650e-19   1.875408e-19   6.848535e-20   6.428829e-21
         8.5000   0.000000e+00   7.945026e-19   6.292109e-19   4.693746e-19   6.295772e-19   5.908439e-19   6.095517e-19   5.786205e-19   4.959900e-19   3.857307e-19   2.819232e-19   2.727956e-19   1.865062e-19   6.772003e-20   6.656346e-21
         8.5500   0.000000e+00   7.614543e-19   6.018041e-19   4.494212e-19   6.074490e-19   5.703297e-19   5.883725e-19   5.585673e-19   4.786022e-19   3.720710e-19   2.716872e-19   2.645789e-19   1.853087e-19   6.689927e-20   6.905388e-21
         8.6000   0.000000e+00   7.296173e-19   5.754969e-19   4.302327e-19   5.858557e-19   5.502807e-19   5.676840e-19   5.389792e-19   4.616363e-19   3.587633e-19   2.617450e-19   2.564543e-19   1.839843e-19   6.603263e-20   7.177116e-21
         8.6500   0.000000e+00   6.989597e-19   5.502520e-19   4.117865e-19   5.648047e-19   5.307085e-19   5.474967e-19   5.198659e-19   4.451003e-19   3.458120e-19   2.520975e-19   2.484432e-19   1.825656e-19   6.512942e-20   7.472598e-21
         8.7000   0.000000e+00   6.694490e-19   5.260332e-19   3.940603e-19   5.443017e-19   5.116222e-19   5.278189e-19   5.012352e-19   4.290001e-19   3.332201e-19   2.427455e-19   2.405641e-19   1.810857e-19   6.419871e-20   7.793055e-21
         8.7500   0.000000e+00   6.410532e-19   5.028046e-19   3.770318e-19   5.243499e-19   4.930287e-19   5.086566e-19   4.830926e-19   4.133397e-19   3.209899e-19   2.336886e-19   2.328325e-19   1.795758e-19   6.324915e-20   8.139844e-21
         8.8000   0.000000e+00   6.137397e-19   4.805316e-19   3.606789e-19   5.049509e-19   4.749327e-19   4.900137e-19   4.654421e-19   3.981219e-19   3.091224e-19   2.249263e-19   2.252605e-19   1.780654e-19   6.228882e-20   8.514310e-21
         8.8500   0.000000e+00   5.874766e-19   4.591798e-19   3.449798e-19   4.861044e-19   4.573366e-19   4.718923e-19   4.482857e-19   3.833477e-19   2.976175e-19   2.164572e-19   2.178581e-19   1.765821e-19   6.132539e-20   8.917755e-21
         8.9000   0.000000e+00   5.622317e-19   4.387161e-19   3.299129e-19   4.678087e-19   4.402416e-19   4.542926e-19   4.316240e-19   3.690169e-19   2.864743e-19   2.082796e-19   2.106335e-19   1.751524e-19   6.036620e-20   9.351553e-21
         8.9500   0.000000e+00   5.379734e-19   4.191080e-19   3.154571e-19   4.500608e-19   4.236470e-19   4.372135e-19   4.154563e-19   3.551281e-19   2.756911e-19   2.003909e-19   2.035931e-19   1.738010e-19   5.941830e-20   9.817189e-21
         9.0000   0.000000e+00   5.146704e-19   4.003240e-19   3.015915e-19   4.328564e-19   4.075506e-19   4.206523e-19   3.997805e-19   3.416787e-19   2.652653e-19   1.927884e-19   1.967424e-19   1.725515e-19   5.848837e-20   1.031626e-20
