# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         7.3500   0.000000e+00   7.513188e-24   3.005275e-23   6.792340e-23   1.215033e-22   2.145040e-22   3.176636e-22
         7.4000   0.000000e+00   7.958373e-24   3.183349e-23   7.181236e-23   1.283628e-22   2.241237e-22   3.315913e-22
         7.4500   0.000000e+00   8.429936e-24   3.371974e-23   7.594171e-23   1.356532e-22   2.343454e-22   3.462657e-22
         7.5000   0.000000e+00   8.929441e-24   3.571776e-23   8.036497e-23   1.433983e-22   2.452356e-22   3.618101e-22
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23   8.512690e-23   1.516238e-22   2.568644e-22   3.783303e-22
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23   9.017098e-23   1.603565e-22   2.692980e-22   3.959335e-22
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23   9.551395e-23   1.698026e-22   2.825946e-22   4.147333e-22
         7.7000   0.000000e+00   1.124150e-23   4.496600e-23   1.011735e-22   1.798640e-22   2.968133e-22   4.348344e-22
         7.7500   0.000000e+00   1.190760e-23   4.763041e-23   1.071684e-22   1.905216e-22   3.120142e-22   4.563309e-22
         7.8000   0.000000e+00   1.261317e-23   5.045268e-23   1.135185e-22   2.018107e-22   3.282567e-22   4.793179e-22
         7.8500   0.000000e+00   1.336055e-23   5.344219e-23   1.202449e-22   2.137688e-22   3.456008e-22   5.038923e-22
         7.9000   0.000000e+00   1.415221e-23   5.660884e-23   1.273699e-22   2.264354e-22   3.641084e-22   5.301494e-22
         7.9500   0.000000e+00   1.499078e-23   5.996313e-23   1.349170e-22   2.398525e-22   3.838438e-22   5.581861e-22
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23   1.429114e-22   2.540647e-22   4.048736e-22   5.881023e-22
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23   1.513794e-22   2.691189e-22   4.272684e-22   6.200017e-22
         8.1000   0.000000e+00   1.781658e-23   7.126631e-23   1.603492e-22   2.850652e-22   4.511022e-22   6.539919e-22
         8.1500   0.000000e+00   1.887228e-23   7.548910e-23   1.698505e-22   3.019564e-22   4.764539e-22   6.901868e-22
         8.2000   0.000000e+00   1.999053e-23   7.996212e-23   1.799148e-22   3.198485e-22   5.034068e-22   7.287061e-22
         8.2500   0.000000e+00   2.117504e-23   8.470017e-23   1.905754e-22   3.388007e-22   5.320486e-22   7.696773e-22
         8.3000   0.000000e+00   2.242974e-23   8.971897e-23   2.018677e-22   3.588759e-22   5.624736e-22   8.132348e-22
         8.3500   0.000000e+00   2.375879e-23   9.503515e-23   2.138291e-22   3.801406e-22   5.947822e-22   8.595204e-22
         8.4000   0.000000e+00   2.516658e-23   1.006663e-22   2.264993e-22   4.026654e-22   6.291646e-22   9.086866e-22
         8.4500   0.000000e+00   2.665780e-23   1.066312e-22   2.399202e-22   4.265248e-22   6.664450e-22   9.608956e-22
         8.5000   0.000000e+00   2.823737e-23   1.129495e-22   2.541364e-22   4.517980e-22   7.059343e-22   1.016545e-21
         8.5500   0.000000e+00   2.991054e-23   1.196422e-22   2.691949e-22   4.785687e-22   7.477636e-22   1.076780e-21
         8.6000   0.000000e+00   3.168285e-23   1.267314e-22   2.851457e-22   5.069256e-22   7.920713e-22   1.140583e-21
         8.6500   0.000000e+00   3.356018e-23   1.342407e-22   3.020416e-22   5.369629e-22   8.390045e-22   1.208166e-21
         8.7000   0.000000e+00   3.554875e-23   1.421950e-22   3.199387e-22   5.687799e-22   8.887186e-22   1.279755e-21
         8.7500   0.000000e+00   3.765514e-23   1.506206e-22   3.388963e-22   6.024823e-22   9.413785e-22   1.355585e-21
         8.8000   0.000000e+00   3.988635e-23   1.595454e-22   3.589771e-22   6.381816e-22   9.971587e-22   1.435909e-21
         8.8500   0.000000e+00   4.224976e-23   1.689991e-22   3.802479e-22   6.759962e-22   1.056244e-21   1.520991e-21
         8.9000   0.000000e+00   4.475322e-23   1.790129e-22   4.027790e-22   7.160515e-22   1.118830e-21   1.611116e-21
         8.9500   0.000000e+00   4.740501e-23   1.896201e-22   4.266451e-22   7.584802e-22   1.185125e-21   1.706581e-21
         9.0000   0.000000e+00   5.021394e-23   2.008558e-22   4.519254e-22   8.034230e-22   1.255348e-21   1.807702e-21
