# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         6.3000   1.034223e-24   3.090259e-24   1.954909e-23   4.282163e-23   7.503843e-23   2.529151e-22   1.958384e-22   3.493220e-22   2.410614e-22   1.435494e-21   3.715015e-21   4.314892e-21   0.000000e+00
         6.3500   1.129432e-24   3.179391e-24   1.897845e-23   4.123188e-23   7.171237e-23   2.411977e-22   1.855155e-22   3.314813e-22   2.316476e-22   1.382805e-21   3.550341e-21   4.120191e-21   0.000000e+00
         6.4000   1.237559e-24   3.288697e-24   1.838586e-23   3.964465e-23   6.845963e-23   2.298947e-22   1.755912e-22   3.144129e-22   2.229149e-22   1.332447e-21   3.392708e-21   3.936576e-21   0.000000e+00
         6.4500   1.360028e-24   3.419755e-24   1.777542e-23   3.805624e-23   6.527666e-23   2.190022e-22   1.660550e-22   2.980188e-22   2.147815e-22   1.284399e-21   3.246376e-21   3.763325e-21   0.000000e+00
         6.5000   1.498424e-24   3.574272e-24   1.715057e-23   3.646659e-23   6.216064e-23   2.085017e-22   1.569033e-22   2.822690e-22   2.070137e-22   1.238372e-21   3.108222e-21   3.599750e-21   0.000000e+00
         6.5500   1.654515e-24   3.754097e-24   1.651284e-23   3.488128e-23   5.910945e-23   1.983741e-22   1.481279e-22   2.671631e-22   1.994247e-22   1.193903e-21   2.977696e-21   3.445202e-21   0.000000e+00
         6.6000   1.830276e-24   3.961246e-24   1.586380e-23   3.330657e-23   5.612248e-23   1.885868e-22   1.397144e-22   2.527005e-22   1.920614e-22   1.150623e-21   2.854296e-21   3.299067e-21   0.000000e+00
         6.6500   2.027911e-24   4.197942e-24   1.520562e-23   3.174632e-23   5.320176e-23   1.790942e-22   1.316455e-22   2.388591e-22   1.850304e-22   1.108505e-21   2.737573e-21   3.160789e-21   0.000000e+00
         6.7000   2.249881e-24   4.466640e-24   1.454144e-23   3.020256e-23   5.035039e-23   1.698601e-22   1.238893e-22   2.256107e-22   1.784039e-22   1.067631e-21   2.627057e-21   3.029828e-21   0.000000e+00
         6.7500   2.498935e-24   4.770024e-24   1.387456e-23   2.867762e-23   4.757140e-23   1.608938e-22   1.164161e-22   2.128971e-22   1.721682e-22   1.028051e-21   2.522304e-21   2.905652e-21   0.000000e+00
         6.8000   2.778140e-24   5.111029e-24   1.320817e-23   2.717500e-23   4.486728e-23   1.522219e-22   1.092156e-22   2.006554e-22   1.662996e-22   9.896891e-22   2.422874e-21   2.787776e-21   0.000000e+00
         6.8500   3.090918e-24   5.492866e-24   1.254533e-23   2.569889e-23   4.224069e-23   1.438606e-22   1.023012e-22   1.888457e-22   1.606635e-22   9.524374e-22   2.328261e-21   2.675718e-21   0.000000e+00
         6.9000   3.441086e-24   5.919061e-24   1.188913e-23   2.425333e-23   3.969453e-23   1.357982e-22   9.568672e-23   1.774878e-22   1.550905e-22   9.160352e-22   2.237979e-21   2.568956e-21   0.000000e+00
         6.9500   3.832903e-24   6.393485e-24   1.124245e-23   2.284207e-23   3.723188e-23   1.280194e-22   8.937102e-23   1.666127e-22   1.494887e-22   8.802240e-22   2.151723e-21   2.467008e-21   0.000000e+00
