# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         6.9500   4.513782e-19   9.142821e-19   1.385268e-18   1.219316e-18   7.782411e-19   2.768974e-19   9.679227e-20   3.001366e-22
         7.0000   4.387922e-19   8.899147e-19   1.346203e-18   1.167979e-18   7.615740e-19   2.944387e-19   1.018346e-19   3.182924e-22
         7.0500   4.262113e-19   8.654402e-19   1.307265e-18   1.117342e-18   7.443887e-19   3.108631e-19   1.063500e-19   3.366528e-22
         7.1000   4.136718e-19   8.409390e-19   1.268564e-18   1.068038e-18   7.267711e-19   3.260482e-19   1.103356e-19   3.551396e-22
         7.1500   4.012066e-19   8.164847e-19   1.230184e-18   1.020497e-18   7.090361e-19   3.399019e-19   1.137992e-19   3.737154e-22
         7.2000   3.888448e-19   7.921437e-19   1.192195e-18   9.749834e-19   6.911508e-19   3.523594e-19   1.167559e-19   3.923797e-22
         7.2500   3.766129e-19   7.679762e-19   1.154658e-18   9.316339e-19   6.730868e-19   3.633784e-19   1.192262e-19   4.111823e-22
         7.3000   3.645339e-19   7.440360e-19   1.117626e-18   8.904882e-19   6.549158e-19   3.729327e-19   1.212343e-19   4.302100e-22
         7.3500   3.526284e-19   7.203713e-19   1.081149e-18   8.515179e-19   6.367028e-19   3.809924e-19   1.228059e-19   4.495888e-22
         7.4000   3.409143e-19   6.970244e-19   1.045270e-18   8.146484e-19   6.185039e-19   3.875482e-19   1.239679e-19   4.694710e-22
         7.4500   3.294070e-19   6.740328e-19   1.010029e-18   7.797756e-19   6.003677e-19   3.926168e-19   1.247471e-19   4.900325e-22
         7.5000   3.181198e-19   6.514291e-19   9.754629e-19   7.467792e-19   5.823381e-19   3.962366e-19   1.251698e-19   5.114554e-22
         7.5500   3.070640e-19   6.292414e-19   9.416021e-19   7.155321e-19   5.644539e-19   3.984634e-19   1.252617e-19   5.339333e-22
         7.6000   2.962488e-19   6.074935e-19   9.084739e-19   6.859069e-19   5.467492e-19   3.993681e-19   1.250474e-19   5.576603e-22
         7.6500   2.856819e-19   5.862057e-19   8.761011e-19   6.577805e-19   5.292554e-19   3.990468e-19   1.245507e-19   5.828254e-22
         7.7000   2.753693e-19   5.653945e-19   8.445026e-19   6.310370e-19   5.120012e-19   3.976021e-19   1.237942e-19   6.095937e-22
         7.7500   2.653157e-19   5.450734e-19   8.136930e-19   6.055692e-19   4.950120e-19   3.951340e-19   1.227998e-19   6.381385e-22
         7.8000   2.555244e-19   5.252530e-19   7.836834e-19   5.812791e-19   4.783100e-19   3.917389e-19   1.215885e-19   6.686407e-22
         7.8500   2.459976e-19   5.059409e-19   7.544814e-19   5.580784e-19   4.619374e-19   3.875108e-19   1.201803e-19   7.012575e-22
         7.9000   2.367363e-19   4.871426e-19   7.260912e-19   5.358878e-19   4.459609e-19   3.825399e-19   1.185946e-19   7.361384e-22
         7.9500   2.277407e-19   4.688613e-19   6.985141e-19   5.146369e-19   4.303259e-19   3.769122e-19   1.168497e-19   7.734357e-22
         8.0000   2.190101e-19   4.510983e-19   6.717488e-19   4.942629e-19   4.150444e-19   3.707088e-19   1.149634e-19   8.133026e-22
         8.0500   2.105432e-19   4.338531e-19   6.457915e-19   4.747103e-19   4.001258e-19   3.640042e-19   1.129526e-19   8.558907e-22
         8.1000   2.023377e-19   4.171235e-19   6.206361e-19   4.559299e-19   3.855775e-19   3.568667e-19   1.108334e-19   9.013554e-22
         8.1500   1.943909e-19   4.009062e-19   5.962749e-19   4.378782e-19   3.714039e-19   3.493604e-19   1.086210e-19   9.498569e-22
         8.2000   1.866997e-19   3.851963e-19   5.726981e-19   4.205163e-19   3.576078e-19   3.415444e-19   1.063301e-19   1.001562e-21
         8.2500   1.792604e-19   3.699881e-19   5.498948e-19   4.038099e-19   3.441910e-19   3.334739e-19   1.039741e-19   1.056644e-21
         8.3000   1.720689e-19   3.552748e-19   5.278525e-19   3.877280e-19   3.311534e-19   3.251997e-19   1.015660e-19   1.115288e-21
         8.3500   1.651207e-19   3.410488e-19   5.065578e-19   3.722429e-19   3.184943e-19   3.167679e-19   9.911778e-20   1.177686e-21
         8.4000   1.584112e-19   3.273018e-19   4.859963e-19   3.573298e-19   3.062119e-19   3.082207e-19   9.664052e-20   1.244046e-21
         8.4500   1.519355e-19   3.140249e-19   4.661528e-19   3.429651e-19   2.943039e-19   2.995970e-19   9.414463e-20   1.314583e-21
         8.5000   1.456885e-19   3.012086e-19   4.470115e-19   3.291280e-19   2.827672e-19   2.909329e-19   9.163964e-20   1.389529e-21
         8.5500   1.396647e-19   2.888431e-19   4.285562e-19   3.157990e-19   2.715983e-19   2.822612e-19   8.913453e-20   1.469131e-21
         8.6000   1.338589e-19   2.769182e-19   4.107701e-19   3.029601e-19   2.607929e-19   2.736122e-19   8.663847e-20   1.553649e-21
         8.6500   1.282655e-19   2.654234e-19   3.936361e-19   2.905944e-19   2.503461e-19   2.650128e-19   8.415741e-20   1.644449e-21
         8.7000   1.228789e-19   2.543480e-19   3.771371e-19   2.786859e-19   2.402526e-19   2.564874e-19   8.169800e-20   1.741889e-21
         8.7500   1.176936e-19   2.436811e-19   3.612557e-19   2.672196e-19   2.305065e-19   2.480577e-19   7.926623e-20   1.845102e-21
         8.8000   1.127038e-19   2.334118e-19   3.459745e-19   2.561811e-19   2.211015e-19   2.397430e-19   7.686747e-20   1.954431e-21
         8.8500   1.079039e-19   2.235290e-19   3.312761e-19   2.455565e-19   2.120309e-19   2.315603e-19   7.450652e-20   2.070238e-21
         8.9000   1.032883e-19   2.140218e-19   3.171432e-19   2.353328e-19   2.032877e-19   2.235246e-19   7.218764e-20   2.192908e-21
         8.9500   9.885138e-20   2.048790e-19   3.035586e-19   2.254970e-19   1.948646e-19   2.156485e-19   6.991460e-20   2.322846e-21
         9.0000   9.458765e-20   1.960898e-19   2.905052e-19   2.160369e-19   1.867541e-19   2.079431e-19   6.769070e-20   2.460483e-21
