# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         6.4500   6.578202e-24   1.123523e-23   1.755110e-23   3.696534e-23   4.718235e-23   8.454916e-23   1.164882e-22   2.170684e-22   3.310032e-22   4.991944e-22   6.945732e-22   9.220201e-22   1.761018e-21   4.365465e-21   1.020515e-20   9.743305e-21   0.000000e+00
         6.5000   6.678362e-24   1.121401e-23   1.753667e-23   3.633463e-23   4.536961e-23   8.164083e-23   1.118475e-22   2.068946e-22   3.143169e-22   4.731115e-22   6.572501e-22   8.710177e-22   1.691286e-21   4.200529e-21   9.738191e-21   9.264510e-21   0.000000e+00
         6.5500   6.742406e-24   1.114094e-23   1.745334e-23   3.564740e-23   4.363232e-23   7.888538e-23   1.073102e-22   1.970382e-22   2.983488e-22   4.482784e-22   6.217241e-22   8.224973e-22   1.624799e-21   4.043554e-21   9.291871e-21   8.813505e-21   0.000000e+00
         6.6000   6.770105e-24   1.101726e-23   1.730136e-23   3.490234e-23   4.196830e-23   7.627860e-23   1.028853e-22   1.874853e-22   2.829959e-22   4.245743e-22   5.879347e-22   7.763966e-22   1.561285e-21   3.893509e-21   8.878371e-21   8.388505e-21   0.000000e+00
         6.6500   6.761871e-24   1.084506e-23   1.708215e-23   3.409923e-23   4.037650e-23   7.381692e-23   9.857496e-23   1.782630e-22   2.682084e-22   4.018494e-22   5.557166e-22   7.326255e-22   1.500874e-21   3.749970e-21   8.488553e-21   7.987891e-21   0.000000e+00
         6.7000   6.718714e-24   1.062728e-23   1.679818e-23   3.323895e-23   3.885588e-23   7.149894e-23   9.437362e-23   1.693904e-22   2.539850e-22   3.799992e-22   5.248754e-22   6.909570e-22   1.443733e-21   3.612857e-21   8.120806e-21   7.610140e-21   0.000000e+00
         6.7500   6.642196e-24   1.036752e-23   1.645294e-23   3.232341e-23   3.740497e-23   6.932424e-23   9.027447e-23   1.608597e-22   2.403272e-22   3.590112e-22   4.952810e-22   6.511416e-22   1.389416e-21   3.481966e-21   7.773656e-21   7.253809e-21   0.000000e+00
         6.8000   6.534364e-24   1.006997e-23   1.605078e-23   3.135561e-23   3.602156e-23   6.729206e-23   8.625431e-23   1.526600e-22   2.272184e-22   3.388919e-22   4.669171e-22   6.130307e-22   1.337082e-21   3.356234e-21   7.445692e-21   6.917531e-21   0.000000e+00
         6.8500   6.397673e-24   9.739247e-24   1.559681e-23   3.033953e-23   3.470309e-23   6.540064e-23   8.228817e-23   1.447457e-22   2.146386e-22   3.196308e-22   4.397896e-22   5.766099e-22   1.286095e-21   3.234386e-21   7.135620e-21   6.600020e-21   0.000000e+00
         6.9000   6.234907e-24   9.380303e-24   1.509675e-23   2.928011e-23   3.344683e-23   6.364720e-23   7.836903e-23   1.370506e-22   2.025530e-22   3.011986e-22   4.138838e-22   5.418870e-22   1.236553e-21   3.115718e-21   6.842314e-21   6.300103e-21   0.000000e+00
         6.9500   6.049091e-24   8.998217e-24   1.455678e-23   2.818300e-23   3.224973e-23   6.202834e-23   7.451942e-23   1.295279e-22   1.909035e-22   2.835573e-22   3.891583e-22   5.088375e-22   1.188732e-21   3.000314e-21   6.564592e-21   6.016643e-21   0.000000e+00
         7.0000   5.843404e-24   8.598076e-24   1.398336e-23   2.705432e-23   3.110873e-23   6.054004e-23   7.076307e-23   1.222097e-22   1.796397e-22   2.666250e-22   3.655540e-22   4.774028e-22   1.142803e-21   2.888424e-21   6.301334e-21   5.748524e-21   0.000000e+00
         7.0500   5.621096e-24   8.184837e-24   1.338311e-23   2.590049e-23   3.002084e-23   5.917761e-23   6.710729e-23   1.151478e-22   1.687650e-22   2.503210e-22   3.429574e-22   4.474863e-22   1.098672e-21   2.780061e-21   6.051478e-21   5.494723e-21   0.000000e+00
         7.1000   5.385406e-24   7.763225e-24   1.276261e-23   2.472817e-23   2.898326e-23   5.793617e-23   6.354598e-23   1.083706e-22   1.583128e-22   2.346173e-22   3.212614e-22   4.189291e-22   1.056208e-21   2.674988e-21   5.813803e-21   5.254220e-21   0.000000e+00
         7.1500   5.139494e-24   7.337640e-24   1.212824e-23   2.354427e-23   2.799302e-23   5.681077e-23   6.007324e-23   1.018608e-22   1.483077e-22   2.195551e-22   3.004325e-22   3.915888e-22   1.014920e-21   2.572789e-21   5.587054e-21   5.025910e-21   0.000000e+00
         7.2000   4.886376e-24   6.912089e-24   1.148611e-23   2.235575e-23   2.704680e-23   5.579601e-23   5.668940e-23   9.559595e-23   1.387382e-22   2.051766e-22   2.805204e-22   3.654339e-22   9.742818e-22   2.472692e-21   5.370378e-21   4.808771e-21   0.000000e+00
         7.2500   4.628878e-24   6.490139e-24   1.084191e-23   2.116938e-23   2.614095e-23   5.488564e-23   5.340082e-23   8.956185e-23   1.295838e-22   1.914800e-22   2.615731e-22   3.405246e-22   9.340725e-22   2.374044e-21   5.163182e-21   4.602080e-21   0.000000e+00
         7.3000   4.369594e-24   6.074890e-24   1.020084e-23   1.999163e-23   2.527185e-23   5.407230e-23   5.021392e-23   8.376144e-23   1.208272e-22   1.784323e-22   2.435808e-22   3.169126e-22   8.946727e-22   2.276848e-21   4.964403e-21   4.405151e-21   0.000000e+00
         7.3500   4.110860e-24   5.668965e-24   9.567582e-24   1.882855e-23   2.443628e-23   5.334781e-23   4.713443e-23   7.819954e-23   1.124645e-22   1.660010e-22   2.264949e-22   2.945674e-22   8.564867e-22   2.181632e-21   4.772744e-21   4.216961e-21   0.000000e+00
         7.4000   3.854743e-24   5.274533e-24   8.946247e-24   1.768575e-23   2.363120e-23   5.270379e-23   4.416826e-23   7.288011e-23   1.044955e-22   1.541689e-22   2.102678e-22   2.734165e-22   8.196179e-22   2.088883e-21   4.587592e-21   4.036551e-21   0.000000e+00
         7.4500   3.603032e-24   4.893332e-24   8.340352e-24   1.656835e-23   2.285361e-23   5.213185e-23   4.132138e-23   6.780793e-23   9.691882e-23   1.429310e-22   1.948717e-22   2.533901e-22   7.838176e-22   1.998558e-21   4.408918e-21   3.863461e-21   0.000000e+00
         7.5000   3.357249e-24   4.526711e-24   7.752840e-24   1.548095e-23   2.210053e-23   5.162326e-23   3.859492e-23   6.298988e-23   8.973294e-23   1.322815e-22   1.802944e-22   2.344469e-22   7.488498e-22   1.910332e-21   4.236893e-21   3.697533e-21   0.000000e+00
