# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23   1.513794e-22   2.691189e-22   4.204983e-22   6.055176e-22   8.259365e-22   1.081255e-21   1.475027e-21   1.843830e-21
         8.1000   0.000000e+00   1.781658e-23   7.126631e-23   1.603492e-22   2.850652e-22   4.454144e-22   6.413968e-22   8.734804e-22   1.143172e-21   1.546879e-21   1.931595e-21
         8.1500   0.000000e+00   1.887228e-23   7.548910e-23   1.698505e-22   3.019564e-22   4.718069e-22   6.794019e-22   9.247415e-22   1.208915e-21   1.623719e-21   2.025440e-21
         8.2000   0.000000e+00   1.999053e-23   7.996212e-23   1.799148e-22   3.198485e-22   4.997632e-22   7.196590e-22   9.795359e-22   1.279394e-21   1.705883e-21   2.125799e-21
         8.2500   0.000000e+00   2.117504e-23   8.470017e-23   1.905754e-22   3.388007e-22   5.293761e-22   7.623015e-22   1.037577e-21   1.355203e-21   1.793711e-21   2.233115e-21
         8.3000   0.000000e+00   2.242974e-23   8.971897e-23   2.018677e-22   3.588759e-22   5.607436e-22   8.074707e-22   1.099057e-21   1.435504e-21   1.887538e-21   2.347836e-21
         8.3500   0.000000e+00   2.375879e-23   9.503515e-23   2.138291e-22   3.801406e-22   5.939697e-22   8.553164e-22   1.164181e-21   1.520562e-21   1.987708e-21   2.470403e-21
         8.4000   0.000000e+00   2.516658e-23   1.006663e-22   2.264993e-22   4.026654e-22   6.291646e-22   9.059971e-22   1.233163e-21   1.610661e-21   2.094573e-21   2.601267e-21
         8.4500   0.000000e+00   2.665780e-23   1.066312e-22   2.399202e-22   4.265248e-22   6.664450e-22   9.596808e-22   1.306232e-21   1.706099e-21   2.208503e-21   2.740892e-21
         8.5000   0.000000e+00   2.823737e-23   1.129495e-22   2.541364e-22   4.517980e-22   7.059343e-22   1.016545e-21   1.383631e-21   1.807192e-21   2.329880e-21   2.889760e-21
         8.5500   0.000000e+00   2.991054e-23   1.196422e-22   2.691949e-22   4.785687e-22   7.477636e-22   1.076780e-21   1.465617e-21   1.914275e-21   2.459109e-21   3.048372e-21
         8.6000   0.000000e+00   3.168285e-23   1.267314e-22   2.851457e-22   5.069256e-22   7.920713e-22   1.140583e-21   1.552460e-21   2.027703e-21   2.596619e-21   3.217261e-21
         8.6500   0.000000e+00   3.356018e-23   1.342407e-22   3.020416e-22   5.369629e-22   8.390045e-22   1.208166e-21   1.644449e-21   2.147852e-21   2.742863e-21   3.396983e-21
         8.7000   0.000000e+00   3.554875e-23   1.421950e-22   3.199387e-22   5.687799e-22   8.887186e-22   1.279755e-21   1.741889e-21   2.275120e-21   2.898319e-21   3.588134e-21
         8.7500   0.000000e+00   3.765514e-23   1.506206e-22   3.388963e-22   6.024823e-22   9.413785e-22   1.355585e-21   1.845102e-21   2.409929e-21   3.063496e-21   3.791339e-21
         8.8000   0.000000e+00   3.988635e-23   1.595454e-22   3.589771e-22   6.381816e-22   9.971587e-22   1.435909e-21   1.954431e-21   2.552726e-21   3.238938e-21   4.007261e-21
         8.8500   0.000000e+00   4.224976e-23   1.689991e-22   3.802479e-22   6.759962e-22   1.056244e-21   1.520991e-21   2.070238e-21   2.703985e-21   3.425221e-21   4.236611e-21
         8.9000   0.000000e+00   4.475322e-23   1.790129e-22   4.027790e-22   7.160515e-22   1.118830e-21   1.611116e-21   2.192908e-21   2.864206e-21   3.625011e-21   4.480146e-21
         8.9500   0.000000e+00   4.740501e-23   1.896201e-22   4.266451e-22   7.584802e-22   1.185125e-21   1.706581e-21   2.322846e-21   3.033921e-21   3.839806e-21   4.740501e-21
         9.0000   0.000000e+00   5.021394e-23   2.008558e-22   4.519254e-22   8.034230e-22   1.255348e-21   1.807702e-21   2.460483e-21   3.213692e-21   4.067329e-21   5.021394e-21
