# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         6.6000   4.477488e-24   1.127101e-23   2.024541e-23   4.478729e-23   5.813277e-23   1.313919e-22   1.766251e-22   5.093256e-22   1.384500e-21   1.386347e-21   0.000000e+00
         6.6500   4.277194e-24   1.075525e-23   1.920549e-23   4.233271e-23   5.475478e-23   1.242759e-22   1.700550e-22   4.904080e-22   1.330249e-21   1.325264e-21   0.000000e+00
         6.7000   4.069475e-24   1.023420e-23   1.817696e-23   3.994362e-23   5.149983e-23   1.174000e-22   1.635937e-22   4.719583e-22   1.278581e-21   1.267364e-21   0.000000e+00
         6.7500   3.857006e-24   9.711162e-24   1.716377e-23   3.762242e-23   4.836490e-23   1.107795e-22   1.571896e-22   4.538395e-22   1.229257e-21   1.212379e-21   0.000000e+00
         6.8000   3.642279e-24   9.189209e-24   1.616972e-23   3.537271e-23   4.534710e-23   1.044127e-22   1.508996e-22   4.359563e-22   1.182129e-21   1.160071e-21   0.000000e+00
         6.8500   3.427558e-24   8.671405e-24   1.519834e-23   3.319792e-23   4.244578e-23   9.828878e-23   1.447921e-22   4.183679e-22   1.137015e-21   1.110274e-21   0.000000e+00
         6.9000   3.214835e-24   8.160618e-24   1.425246e-23   3.110094e-23   3.966223e-23   9.239674e-23   1.388923e-22   4.011753e-22   1.093618e-21   1.062810e-21   0.000000e+00
         6.9500   3.005814e-24   7.659340e-24   1.333429e-23   2.908433e-23   3.699762e-23   8.673260e-23   1.331604e-22   3.844387e-22   1.051724e-21   1.017420e-21   0.000000e+00
         7.0000   2.801896e-24   7.169661e-24   1.244592e-23   2.715037e-23   3.445279e-23   8.129787e-23   1.275551e-22   3.681142e-22   1.011278e-21   9.738925e-22   0.000000e+00
         7.0500   2.604198e-24   6.693389e-24   1.158953e-23   2.529995e-23   3.202842e-23   7.609409e-23   1.220534e-22   3.521413e-22   9.723112e-22   9.321305e-22   0.000000e+00
         7.1000   2.413574e-24   6.232118e-24   1.076702e-23   2.353211e-23   2.972482e-23   7.112272e-23   1.166609e-22   3.364794e-22   9.347781e-22   8.921062e-22   0.000000e+00
         7.1500   2.230649e-24   5.787233e-24   9.979654e-24   2.184569e-23   2.754012e-23   6.638452e-23   1.113875e-22   3.211370e-22   8.983844e-22   8.537544e-22   0.000000e+00
         7.2000   2.055853e-24   5.359885e-24   9.228204e-24   2.024133e-23   2.547019e-23   6.187876e-23   1.062408e-22   3.061381e-22   8.628315e-22   8.168450e-22   0.000000e+00
         7.2500   1.889453e-24   4.950989e-24   8.513158e-24   1.872017e-23   2.351108e-23   5.759863e-23   1.012296e-22   2.915040e-22   8.281456e-22   7.811220e-22   0.000000e+00
         7.3000   1.731592e-24   4.561231e-24   7.834832e-24   1.728238e-23   2.166181e-23   5.353376e-23   9.636474e-23   2.772569e-22   7.944433e-22   7.465466e-22   0.000000e+00
         7.3500   1.582318e-24   4.191089e-24   7.193344e-24   1.592632e-23   1.992219e-23   4.967598e-23   9.164855e-23   2.634171e-22   7.616896e-22   7.131687e-22   0.000000e+00
         7.4000   1.441603e-24   3.840854e-24   6.588578e-24   1.464972e-23   1.829084e-23   4.602484e-23   8.706033e-23   2.499944e-22   7.297443e-22   6.809489e-22   0.000000e+00
         7.4500   1.309371e-24   3.510635e-24   6.020181e-24   1.345024e-23   1.676393e-23   4.258134e-23   8.257792e-23   2.369666e-22   6.985861e-22   6.497628e-22   0.000000e+00
         7.5000   1.185504e-24   3.200385e-24   5.487586e-24   1.232589e-23   1.533704e-23   3.934330e-23   7.820741e-23   2.243047e-22   6.682486e-22   6.195616e-22   0.000000e+00
