# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         5.8000   0.000000e+00   2.710788e-18   5.812936e-24   1.463611e-23   2.212180e-20   2.103801e-20   2.187816e-18   2.119067e-18   2.046954e-18   1.198476e-18   5.523211e-21   4.186722e-20   9.093763e-20   1.448324e-19   1.716831e-19   1.888200e-19   1.965248e-19   1.423457e-19   2.052772e-20   4.986570e-20   4.786023e-20
         5.8500   0.000000e+00   2.659575e-18   6.071227e-24   1.554788e-23   2.078547e-20   1.861663e-20   2.258019e-18   2.161777e-18   2.096690e-18   1.218796e-18   9.885766e-21   4.930588e-20   1.004659e-19   1.558156e-19   1.842847e-19   2.035805e-19   2.108798e-19   1.460574e-19   1.956254e-20   4.732988e-20   4.531576e-20
         5.9000   0.000000e+00   2.605711e-18   6.345166e-24   1.647326e-23   1.953529e-20   1.642942e-20   2.316009e-18   2.193078e-18   2.136286e-18   1.234999e-18   1.726343e-20   5.868009e-20   1.107419e-19   1.664561e-19   1.962032e-19   2.170781e-19   2.236216e-19   1.487802e-19   1.865907e-20   4.496239e-20   4.292074e-20
         5.9500   0.000000e+00   2.549620e-18   6.636551e-24   1.740757e-23   1.836579e-20   1.446272e-20   2.362453e-18   2.213708e-18   2.166060e-18   1.247437e-18   2.885394e-20   7.083999e-20   1.223722e-19   1.771156e-19   2.075608e-19   2.300884e-19   2.346842e-19   1.506035e-19   1.781401e-20   4.259255e-20   4.066704e-20
         6.0000   0.000000e+00   2.491692e-18   6.947269e-24   1.834731e-23   1.727166e-20   1.270183e-20   2.398136e-18   2.224490e-18   2.186499e-18   1.256440e-18   4.591295e-20   8.673446e-20   1.361569e-19   1.883655e-19   2.186569e-19   2.410984e-19   2.441138e-19   1.516472e-19   1.702421e-20   4.045762e-20   3.854682e-20
         6.0500   0.000000e+00   2.432288e-18   7.279290e-24   1.929136e-23   1.624780e-20   1.113160e-20   2.423911e-18   2.226333e-18   2.198177e-18   1.262342e-18   6.960474e-20   1.072819e-19   1.530060e-19   2.009461e-19   2.299537e-19   2.512389e-19   2.520701e-19   1.520633e-19   1.628670e-20   3.840900e-20   3.655230e-20
         6.1000   0.000000e+00   2.371739e-18   7.634329e-24   2.024050e-23   1.528939e-20   9.736622e-21   2.440649e-18   2.220246e-18   2.201708e-18   1.265437e-18   1.008498e-19   1.332413e-19   1.738274e-19   2.156957e-19   2.420305e-19   2.609262e-19   2.588208e-19   1.520369e-19   1.559867e-20   3.650171e-20   3.467788e-20
         6.1500   0.000000e+00   2.310346e-18   8.014013e-24   2.119797e-23   1.439188e-20   8.501629e-21   2.449210e-18   2.207219e-18   2.197715e-18   1.265996e-18   1.401922e-19   1.650887e-19   1.993882e-19   2.334294e-19   2.560149e-19   2.706624e-19   2.647215e-19   1.517814e-19   1.495744e-20   3.470792e-20   3.291654e-20
         6.2000   0.000000e+00   2.248383e-18   8.420000e-24   2.216887e-23   1.355104e-20   7.411872e-21   2.450415e-18   2.188205e-18   2.186828e-18   1.264325e-18   1.877010e-19   2.029419e-19   2.301888e-19   2.548180e-19   2.715859e-19   2.809851e-19   2.701827e-19   1.515287e-19   1.436050e-20   3.301341e-20   3.126152e-20
         6.2500   0.000000e+00   2.186100e-18   8.853960e-24   2.316015e-23   1.276294e-20   6.453308e-21   2.445036e-18   2.164101e-18   2.169675e-18   1.260534e-18   2.429385e-19   2.465373e-19   2.663730e-19   2.802861e-19   2.897223e-19   2.923877e-19   2.756385e-19   1.515125e-19   1.380543e-20   3.137723e-20   2.970723e-20
