# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         7.2000   4.164585e-20   8.703545e-19   1.106398e-18   1.136073e-18   9.037674e-19   6.356371e-19   2.797307e-19   8.968926e-20   5.212878e-22
         7.2500   4.030333e-20   8.444319e-19   1.074990e-18   1.102463e-18   8.761171e-19   6.214976e-19   2.923111e-19   9.247278e-20   5.489781e-22
         7.3000   3.898078e-20   8.187418e-19   1.043752e-18   1.069115e-18   8.486894e-19   6.072931e-19   3.036669e-19   9.494254e-20   5.767944e-22
         7.3500   3.768010e-20   7.933314e-19   1.012745e-18   1.036110e-18   8.215488e-19   5.927953e-19   3.137532e-19   9.711578e-20   6.047861e-22
         7.4000   3.640294e-20   7.682432e-19   9.820211e-19   1.003507e-18   7.947524e-19   5.780679e-19   3.225453e-19   9.899605e-20   6.330657e-22
         7.4500   3.515073e-20   7.435151e-19   9.516324e-19   9.713549e-19   7.683566e-19   5.631712e-19   3.300327e-19   1.005809e-19   6.618037e-22
         7.5000   3.392464e-20   7.191808e-19   9.216254e-19   9.396931e-19   7.424241e-19   5.481605e-19   3.362166e-19   1.018717e-19   6.912167e-22
         7.5500   3.272567e-20   6.952696e-19   8.920428e-19   9.085573e-19   7.169966e-19   5.330851e-19   3.411152e-19   1.028733e-19   7.215563e-22
         7.6000   3.155461e-20   6.718070e-19   8.629233e-19   8.779791e-19   6.920993e-19   5.179930e-19   3.447616e-19   1.035933e-19   7.530938e-22
         7.6500   3.041209e-20   6.488150e-19   8.343012e-19   8.479867e-19   6.677485e-19   5.029282e-19   3.472020e-19   1.040417e-19   7.861126e-22
         7.7000   2.929858e-20   6.263119e-19   8.062071e-19   8.186052e-19   6.439556e-19   4.879284e-19   3.484918e-19   1.042303e-19   8.209013e-22
         7.7500   2.821441e-20   6.043131e-19   7.786673e-19   7.898566e-19   6.207292e-19   4.730278e-19   3.486973e-19   1.041721e-19   8.577524e-22
         7.8000   2.715979e-20   5.828306e-19   7.517045e-19   7.617599e-19   5.980761e-19   4.582583e-19   3.478980e-19   1.038813e-19   8.969167e-22
         7.8500   2.613482e-20   5.618743e-19   7.253378e-19   7.343309e-19   5.760019e-19   4.436492e-19   3.461756e-19   1.033730e-19   9.386486e-22
         7.9000   2.513947e-20   5.414510e-19   6.995827e-19   7.075822e-19   5.545110e-19   4.292270e-19   3.436105e-19   1.026623e-19   9.832169e-22
         7.9500   2.417365e-20   5.215657e-19   6.744516e-19   6.815237e-19   5.336065e-19   4.150153e-19   3.402820e-19   1.017650e-19   1.030871e-21
         8.0000   2.323718e-20   5.022210e-19   6.499539e-19   6.561623e-19   5.132902e-19   4.011061e-19   3.362685e-19   1.006966e-19   1.081832e-21
         8.0500   2.232979e-20   4.834178e-19   6.260964e-19   6.315020e-19   4.935625e-19   3.874770e-19   3.316449e-19   9.947285e-20   1.136327e-21
         8.1000   2.145117e-20   4.651553e-19   6.028831e-19   6.075447e-19   4.744223e-19   3.741161e-19   3.264831e-19   9.810900e-20   1.194585e-21
         8.1500   2.060095e-20   4.474312e-19   5.803158e-19   5.842897e-19   4.558672e-19   3.610368e-19   3.208510e-19   9.662002e-20   1.256833e-21
         8.2000   1.977870e-20   4.302416e-19   5.583943e-19   5.617342e-19   4.378932e-19   3.482503e-19   3.148108e-19   9.502046e-20   1.323299e-21
         8.2500   1.898396e-20   4.135818e-19   5.371163e-19   5.398735e-19   4.204950e-19   3.357650e-19   3.084203e-19   9.332436e-20   1.394222e-21
         8.3000   1.821622e-20   3.974458e-19   5.164782e-19   5.187013e-19   4.036663e-19   3.235869e-19   3.017337e-19   9.154517e-20   1.469845e-21
         8.3500   1.747495e-20   3.818265e-19   4.964744e-19   4.982096e-19   3.873993e-19   3.117206e-19   2.948015e-19   8.969568e-20   1.550426e-21
         8.4000   1.675960e-20   3.667164e-19   4.770982e-19   4.783893e-19   3.716855e-19   3.001690e-19   2.876704e-19   8.778799e-20   1.636233e-21
         8.4500   1.606959e-20   3.521068e-19   4.583417e-19   4.592299e-19   3.565154e-19   2.889337e-19   2.803832e-19   8.583351e-20   1.727550e-21
         8.5000   1.540432e-20   3.379888e-19   4.401961e-19   4.407201e-19   3.418787e-19   2.780154e-19   2.729787e-19   8.384294e-20   1.824681e-21
         8.5500   1.476319e-20   3.243528e-19   4.226514e-19   4.228476e-19   3.277645e-19   2.674145e-19   2.654928e-19   8.182627e-20   1.927942e-21
         8.6000   1.414558e-20   3.111887e-19   4.056969e-19   4.055994e-19   3.141613e-19   2.571301e-19   2.579584e-19   7.979277e-20   2.037672e-21
         8.6500   1.355087e-20   2.984861e-19   3.893215e-19   3.889622e-19   3.010572e-19   2.471610e-19   2.504060e-19   7.775099e-20   2.154230e-21
         8.7000   1.297842e-20   2.862344e-19   3.735132e-19   3.729218e-19   2.884399e-19   2.375051e-19   2.428633e-19   7.571024e-20   2.278002e-21
         8.7500   1.242762e-20   2.744226e-19   3.582597e-19   3.574638e-19   2.762969e-19   2.281597e-19   2.353558e-19   7.367728e-20   2.409929e-21
         8.8000   1.189782e-20   2.630398e-19   3.435484e-19   3.425737e-19   2.646156e-19   2.191218e-19   2.279059e-19   7.165774e-20   2.552726e-21
         8.8500   1.138840e-20   2.520746e-19   3.293662e-19   3.282366e-19   2.533831e-19   2.103874e-19   2.205340e-19   6.965763e-20   2.703985e-21
         8.9000   1.089875e-20   2.415158e-19   3.156999e-19   3.144374e-19   2.425866e-19   2.019522e-19   2.132582e-19   6.768239e-20   2.864206e-21
         8.9500   1.042825e-20   2.313521e-19   3.025362e-19   3.011612e-19   2.322132e-19   1.938115e-19   2.060946e-19   6.573695e-20   3.033921e-21
         9.0000   9.976275e-21   2.215723e-19   2.898615e-19   2.883930e-19   2.222501e-19   1.859601e-19   1.990571e-19   6.382571e-20   3.213692e-21
