# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         5.3000   0.000000e+00   9.151611e-25   2.962086e-20   1.479666e-18   1.626047e-18   1.588423e-18   1.467972e-18   9.984587e-19   6.764709e-22   1.166147e-20   2.916401e-20   5.144078e-20   6.409866e-20   6.497938e-20   5.485537e-20   7.816792e-20   2.173025e-20   5.631652e-20   5.484850e-20
         5.3500   0.000000e+00   9.717091e-25   2.769253e-20   1.634460e-18   1.806414e-18   1.765086e-18   1.615978e-18   1.076184e-18   6.545410e-22   1.319572e-20   3.401107e-20   6.202780e-20   7.604802e-20   7.734353e-20   6.987625e-20   9.048016e-20   2.060407e-20   5.336196e-20   5.184434e-20
         5.4000   0.000000e+00   1.029035e-24   2.587151e-20   1.783858e-18   1.981043e-18   1.937590e-18   1.757240e-18   1.147829e-18   6.491208e-22   1.543018e-20   4.006140e-20   7.399129e-20   8.866078e-20   9.176512e-20   8.704644e-20   1.026827e-19   1.954534e-20   5.038263e-20   4.901133e-20
         5.4500   0.000000e+00   1.086867e-24   2.416036e-20   1.925787e-18   2.146726e-18   2.103346e-18   1.890049e-18   1.212955e-18   6.901844e-22   1.839234e-20   4.727806e-20   8.708370e-20   1.027645e-19   1.079716e-19   1.059683e-19   1.144464e-19   1.855043e-20   4.766281e-20   4.634005e-20
         5.5000   0.000000e+00   1.145012e-24   2.255876e-20   2.058681e-18   2.300929e-18   2.260155e-18   2.013008e-18   1.271312e-18   8.515013e-22   2.208259e-20   5.554014e-20   1.009865e-19   1.180518e-19   1.255789e-19   1.261269e-19   1.254911e-19   1.761592e-20   4.506579e-20   4.382162e-20
         5.5500   0.000000e+00   1.203421e-24   2.106419e-20   2.181458e-18   2.441762e-18   2.406245e-18   2.125027e-18   1.322806e-18   1.290485e-21   2.650382e-20   6.467612e-20   1.153468e-19   1.341621e-19   1.441322e-19   1.469453e-19   1.355954e-19   1.673855e-20   4.268794e-20   4.144770e-20
         5.6000   0.000000e+00   1.262172e-24   1.967263e-20   2.293473e-18   2.567936e-18   2.540287e-18   2.225290e-18   1.367540e-18   2.302308e-21   3.171035e-20   7.450980e-20   1.298169e-19   1.507006e-19   1.631517e-19   1.678331e-19   1.445990e-19   1.591526e-20   4.038873e-20   3.921066e-20
         5.6500   0.000000e+00   1.321488e-24   1.837905e-20   2.394446e-18   2.678724e-18   2.661469e-18   2.313224e-18   1.405779e-18   4.378448e-21   3.787117e-20   8.492232e-20   1.441020e-19   1.672670e-19   1.821639e-19   1.882299e-19   1.524006e-19   1.514314e-20   3.816596e-20   3.710338e-20
         5.7000   0.000000e+00   1.381706e-24   1.717781e-20   2.484395e-18   2.773880e-18   2.769411e-18   2.388478e-18   1.437904e-18   8.251842e-21   4.533556e-20   9.592478e-20   1.583214e-19   1.835182e-19   2.007149e-19   2.076394e-19   1.589515e-19   1.441944e-20   3.614696e-20   3.511876e-20
         5.7500   0.000000e+00   1.443272e-24   1.606299e-20   2.563553e-18   2.853588e-18   2.864055e-18   2.450956e-18   1.464395e-18   1.490724e-20   5.467360e-20   1.077274e-19   1.718199e-19   1.992171e-19   2.184316e-19   2.256627e-19   1.642502e-19   1.374155e-20   3.424714e-20   3.325014e-20
