# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         8.0500   2.232961e-20   4.834005e-19   6.260281e-19   6.313474e-19   4.932749e-19   3.870218e-19   3.195055e-19   9.150266e-20   0.000000e+00
         8.1000   2.145102e-20   4.651370e-19   6.028109e-19   6.073815e-19   4.741202e-19   3.736384e-19   3.147219e-19   9.036523e-20   0.000000e+00
         8.1500   2.060082e-20   4.474119e-19   5.802395e-19   5.841172e-19   4.555495e-19   3.605351e-19   3.094622e-19   8.909470e-20   0.000000e+00
         8.2000   1.977859e-20   4.302213e-19   5.583136e-19   5.615519e-19   4.375588e-19   3.477229e-19   3.037868e-19   8.770473e-20   0.000000e+00
         8.2500   1.898386e-20   4.135604e-19   5.370310e-19   5.396808e-19   4.201429e-19   3.352101e-19   2.977521e-19   8.620858e-20   0.000000e+00
         8.3000   1.821614e-20   3.974231e-19   5.163879e-19   5.184975e-19   4.032951e-19   3.230026e-19   2.914111e-19   8.461907e-20   0.000000e+00
         8.3500   1.747488e-20   3.818026e-19   4.963789e-19   4.979941e-19   3.870079e-19   3.111050e-19   2.848131e-19   8.294845e-20   0.000000e+00
         8.4000   1.675954e-20   3.666910e-19   4.769971e-19   4.781613e-19   3.712725e-19   2.995199e-19   2.780042e-19   8.120841e-20   0.000000e+00
         8.4500   1.606954e-20   3.520800e-19   4.582348e-19   4.589886e-19   3.560794e-19   2.882489e-19   2.710263e-19   7.940998e-20   0.000000e+00
         8.5000   1.540428e-20   3.379604e-19   4.400828e-19   4.404647e-19   3.414182e-19   2.772926e-19   2.639177e-19   7.756354e-20   0.000000e+00
         8.5500   1.476316e-20   3.243227e-19   4.225315e-19   4.225773e-19   3.272780e-19   2.666513e-19   2.567138e-19   7.567880e-20   0.000000e+00
         8.6000   1.414556e-20   3.111569e-19   4.055700e-19   4.053133e-19   3.136471e-19   2.563239e-19   2.494471e-19   7.376479e-20   0.000000e+00
         8.6500   1.355085e-20   2.984524e-19   3.891871e-19   3.886593e-19   3.005136e-19   2.463090e-19   2.421477e-19   7.182986e-20   0.000000e+00
         8.7000   1.297840e-20   2.861988e-19   3.733708e-19   3.726011e-19   2.878650e-19   2.366045e-19   2.348433e-19   6.988169e-20   0.000000e+00
         8.7500   1.242760e-20   2.743849e-19   3.581090e-19   3.571242e-19   2.756889e-19   2.272075e-19   2.275589e-19   6.792732e-20   0.000000e+00
         8.8000   1.189781e-20   2.629998e-19   3.433887e-19   3.422141e-19   2.639724e-19   2.181147e-19   2.203170e-19   6.597315e-20   0.000000e+00
         8.8500   1.138840e-20   2.520323e-19   3.291971e-19   3.278558e-19   2.527025e-19   2.093222e-19   2.131377e-19   6.402499e-20   0.000000e+00
         8.9000   1.089875e-20   2.414710e-19   3.155208e-19   3.140342e-19   2.418664e-19   2.008252e-19   2.060389e-19   6.208808e-20   0.000000e+00
         8.9500   1.042824e-20   2.313047e-19   3.023465e-19   3.007342e-19   2.314509e-19   1.926189e-19   1.990367e-19   6.016710e-20   0.000000e+00
         9.0000   9.976270e-21   2.215221e-19   2.896606e-19   2.879407e-19   2.214433e-19   1.846979e-19   1.921450e-19   5.826624e-20   0.000000e+00
