# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         5.2000   1.688075e-20   1.807679e-18   1.502606e-18   2.173578e-18   1.765086e-18   1.213803e-18   1.183651e-23   6.660289e-21   2.649581e-20   4.559625e-20   6.357067e-20   5.608991e-20   4.739208e-20   7.615030e-20   2.559363e-96  2.522529e-102   0.000000e+00
         5.2500   1.616725e-20   1.959657e-18   1.615802e-18   2.381252e-18   1.937953e-18   1.307963e-18   4.417497e-23   8.694316e-21   3.198808e-20   5.619695e-20   7.488204e-20   6.973327e-20   6.336854e-20   9.072404e-20   6.368675e-88   2.767876e-93   0.000000e+00
         5.3000   1.541285e-20   2.105628e-18   1.719849e-18   2.572668e-18   2.103411e-18   1.395411e-18   1.430424e-22   1.143918e-20   3.882095e-20   6.837805e-20   8.833068e-20   8.595619e-20   8.202870e-20   1.054598e-19   1.933392e-80   3.137704e-85   0.000000e+00
         5.3500   1.462130e-20   2.246825e-18   1.814311e-18   2.744929e-18   2.259184e-18   1.475505e-18   4.081315e-22   1.497569e-20   4.699923e-20   8.190213e-20   1.037286e-19   1.045418e-19   1.030309e-19   1.199378e-19   9.005214e-74   4.703573e-78   0.000000e+00
         5.4000   1.373881e-20   2.381215e-18   1.899131e-18   2.896247e-18   2.403370e-18   1.547914e-18   1.039664e-21   1.938750e-20   5.644959e-20   9.642550e-20   1.207742e-19   1.251127e-19   1.258697e-19   1.337856e-19   7.896104e-68   1.161809e-71   0.000000e+00
         5.4500   1.274812e-20   2.505964e-18   1.974673e-18   3.025887e-18   2.534545e-18   1.612553e-18   2.392041e-21   2.480492e-20   6.705433e-20   1.115374e-19   1.390856e-19   1.471648e-19   1.499262e-19   1.466941e-19   1.562913e-62   5.752869e-66   0.000000e+00
         5.5000   1.166720e-20   2.620460e-18   2.041977e-18   3.133977e-18   2.651985e-18   1.669563e-18   5.026365e-21   3.146649e-20   7.870994e-20   1.268098e-19   1.582366e-19   1.701139e-19   1.745263e-19   1.584260e-19   8.207739e-58   6.800980e-61   0.000000e+00
         5.5500   1.054626e-20   2.724359e-18   2.102149e-18   3.221299e-18   2.755370e-18   1.719280e-18   9.742887e-21   3.977926e-20   9.140370e-20   1.418542e-19   1.778032e-19   1.933575e-19   1.989984e-19   1.688163e-19   1.320624e-53   2.243043e-56   0.000000e+00
         5.6000   9.481364e-21   2.817532e-18   2.156146e-18   3.289107e-18   2.844658e-18   1.762141e-18   1.757583e-20   5.035851e-20   1.052929e-19   1.563956e-19   1.974197e-19   2.163338e-19   2.227278e-19   1.777676e-19   7.399918e-50   2.371214e-52   0.000000e+00
         5.6500   8.529372e-21   2.900023e-18   2.204831e-18   3.338956e-18   2.920030e-18   1.798336e-18   2.974015e-20   6.402709e-20   1.207614e-19   1.703356e-19   2.168379e-19   2.385768e-19   2.451965e-19   1.852453e-19   1.618093e-46   9.092949e-49   0.000000e+00
         5.7000   7.708646e-21   2.972001e-18   2.249139e-18   3.372557e-18   2.981843e-18   1.828034e-18   4.753131e-20   8.175111e-20   1.384267e-19   1.837840e-19   2.359802e-19   2.597672e-19   2.660110e-19   1.912778e-19   1.527799e-43   1.412318e-45   0.000000e+00
         5.7500   7.016266e-21   3.033732e-18   2.289739e-18   3.391662e-18   3.030453e-18   1.851469e-18   7.218678e-20   1.045184e-19   1.591037e-19   1.970623e-19   2.549749e-19   2.797723e-19   2.849243e-19   1.959481e-19   6.822488e-41   9.802649e-43   0.000000e+00
         5.8000   6.438770e-21   3.085540e-18   2.326996e-18   3.397980e-18   3.065872e-18   1.868840e-18   1.047222e-19   1.332037e-19   1.837110e-19   2.106430e-19   2.741532e-19   2.986673e-19   3.018491e-19   1.993904e-19   1.563160e-38   3.318873e-40   0.000000e+00
         5.8500   5.958603e-21   3.127793e-18   2.360836e-18   3.393119e-18   3.088287e-18   1.880360e-18   1.457829e-19   1.684301e-19   2.131347e-19   2.250391e-19   2.940331e-19   3.167264e-19   3.168615e-19   2.017883e-19   1.975947e-36   5.926531e-38   0.000000e+00
         5.9000   5.557785e-21   3.160884e-18   2.390475e-18   3.378550e-18   3.098152e-18   1.886523e-18   1.955304e-19   2.104224e-19   2.480799e-19   2.407617e-19   3.152770e-19   3.343793e-19   3.301890e-19   2.033717e-19   1.470104e-34   5.984485e-36   0.000000e+00
         5.9500   5.219826e-21   3.185224e-18   2.415426e-18   3.355591e-18   3.096129e-18   1.887645e-18   2.535844e-19   2.589679e-19   2.889410e-19   2.582497e-19   3.385532e-19   3.521498e-19   3.421804e-19   2.044073e-19   6.819218e-33   3.636273e-34   0.000000e+00
         6.0000   4.930560e-21   3.201228e-18   2.435562e-18   3.325403e-18   3.083035e-18   1.884179e-18   3.190295e-19   3.134075e-19   3.357190e-19   2.778092e-19   3.644195e-19   3.705720e-19   3.532835e-19   2.051826e-19   2.075825e-31   1.405312e-32   0.000000e+00
         6.0500   4.678359e-21   3.209316e-18   2.450953e-18   3.288996e-18   3.059792e-18   1.876471e-18   3.906025e-19   3.726642e-19   3.879996e-19   2.996054e-19   3.932306e-19   3.900988e-19   3.639955e-19   2.059956e-19   4.340056e-30   3.629736e-31   0.000000e+00
         6.1000   4.454014e-21   3.209914e-18   2.461764e-18   3.247245e-18   3.027378e-18   1.865410e-18   4.670668e-19   4.354483e-19   4.449809e-19   3.236180e-19   4.250837e-19   4.110306e-19   3.747760e-19   2.071476e-19   6.490211e-29   6.548818e-30   0.000000e+00
         6.1500   4.250439e-21   3.203449e-18   2.468188e-18   3.200902e-18   2.986963e-18   1.850916e-18   5.471810e-19   5.004071e-19   5.055433e-19   3.496183e-19   4.598229e-19   4.334723e-19   3.859897e-19   2.088952e-19   7.200186e-28   8.585821e-29   0.000000e+00
         6.2000   4.062331e-21   3.190349e-18   2.470420e-18   3.150615e-18   2.940140e-18   1.833092e-18   6.297163e-19   5.661673e-19   5.683469e-19   3.771757e-19   4.970579e-19   4.573290e-19   3.978679e-19   2.114246e-19   6.122702e-27   8.473037e-28   0.000000e+00
         6.2500   3.885826e-21   3.171043e-18   2.468638e-18   3.096944e-18   2.888298e-18   1.812134e-18   7.134770e-19   6.314551e-19   6.319598e-19   4.057268e-19   5.361715e-19   4.823597e-19   4.104930e-19   2.148407e-19   4.108795e-26   6.495181e-27   0.000000e+00
         6.3000   3.718188e-21   3.145961e-18   2.463000e-18   3.040375e-18   2.832539e-18   1.788248e-18   7.973076e-19   6.951594e-19   6.950900e-19   4.346259e-19   5.763776e-19   5.081788e-19   4.238184e-19   2.191661e-19   2.233291e-25   3.977480e-26   0.000000e+00
         6.3500   3.557537e-21   3.115532e-18   2.453652e-18   2.981335e-18   2.773740e-18   1.762162e-18   8.800991e-19   7.562550e-19   7.566136e-19   4.632150e-19   6.167906e-19   5.342841e-19   4.376878e-19   2.243435e-19   1.006247e-24   1.994894e-25   0.000000e+00
         6.4000   3.402636e-21   3.080181e-18   2.440730e-18   2.920202e-18   2.712600e-18   1.734420e-18   9.607999e-19   8.137797e-19   8.155614e-19   4.908878e-19   6.564975e-19   5.601096e-19   4.518455e-19   2.302400e-19   3.836815e-24   8.378181e-25   0.000000e+00
         6.4500   3.252708e-21   3.040331e-18   2.424371e-18   2.857314e-18   2.649607e-18   1.704628e-18   1.038453e-18   8.669982e-19   8.711341e-19   5.171216e-19   6.946874e-19   5.850755e-19   4.659697e-19   2.366904e-19   1.260975e-23   3.004954e-24   0.000000e+00
         6.5000   3.107301e-21   2.996398e-18   2.404713e-18   2.792979e-18   2.584936e-18   1.672986e-18   1.112230e-18   9.154306e-19   9.227047e-19   5.415027e-19   7.307483e-19   6.086439e-19   4.797059e-19   2.435363e-19   3.630691e-23   9.365999e-24   0.000000e+00
         6.5500   2.966186e-21   2.948789e-18   2.381903e-18   2.727474e-18   2.518765e-18   1.639694e-18   1.181407e-18   9.587402e-19   9.698107e-19   5.637398e-19   7.641964e-19   6.304204e-19   4.926988e-19   2.506613e-19   9.292408e-23   2.576358e-23   0.000000e+00
         6.6000   2.829273e-21   2.897903e-18   2.356098e-18   2.661056e-18   2.451326e-18   1.604939e-18   1.245378e-18   9.967574e-19   1.012140e-18   5.836518e-19   7.946661e-19   6.501258e-19   5.046489e-19   2.580088e-19   2.141706e-22   6.340694e-23   0.000000e+00
         6.6500   2.696559e-21   2.844170e-18   2.327466e-18   2.593963e-18   2.382880e-18   1.568866e-18   1.303671e-18   1.029486e-18   1.049523e-18   6.011437e-19   8.219016e-19   6.675602e-19   5.153410e-19   2.655687e-19   4.497084e-22   1.413231e-22   0.000000e+00
         6.7000   2.568087e-21   2.787983e-18   2.296185e-18   2.526415e-18   2.313708e-18   1.531636e-18   1.355950e-18   1.057108e-18   1.081944e-18   6.161901e-19   8.457450e-19   6.825951e-19   5.246129e-19   2.733414e-19   8.692969e-22   2.883412e-22   0.000000e+00
         6.7500   2.443916e-21   2.729605e-18   2.262444e-18   2.458615e-18   2.244111e-18   1.494098e-18   1.401850e-18   1.079919e-18   1.109482e-18   6.288209e-19   8.661238e-19   6.951634e-19   5.323495e-19   2.812940e-19   1.561455e-21   5.437049e-22   0.000000e+00
         6.8000   2.324102e-21   2.669380e-18   2.226440e-18   2.390753e-18   2.174455e-18   1.456324e-18   1.440877e-18   1.098217e-18   1.132275e-18   6.391067e-19   8.830379e-19   7.052506e-19   5.384773e-19   2.893436e-19   2.628107e-21   9.555736e-22   0.000000e+00
         6.8500   2.208692e-21   2.607628e-18   2.188373e-18   2.323004e-18   2.105066e-18   1.418067e-18   1.472818e-18   1.112295e-18   1.150509e-18   6.471466e-19   8.965494e-19   7.128851e-19   5.429593e-19   2.973995e-19   4.175780e-21   1.577174e-21   0.000000e+00
         6.9000   2.097712e-21   2.544654e-18   2.148448e-18   2.255530e-18   2.036219e-18   1.379486e-18   1.497733e-18   1.122475e-18   1.164400e-18   6.530697e-19   9.067708e-19   7.181347e-19   5.457903e-19   3.053996e-19   6.304874e-21   2.461019e-21   0.000000e+00
         6.9500   1.991164e-21   2.480742e-18   2.106871e-18   2.188480e-18   1.968141e-18   1.340797e-18   1.515877e-18   1.129088e-18   1.174189e-18   6.570305e-19   9.138488e-19   7.211134e-19   5.469940e-19   3.132300e-19   9.098996e-21   3.652181e-21   0.000000e+00
         7.0000   1.889029e-21   2.416155e-18   2.063845e-18   2.121991e-18   1.901021e-18   1.302184e-18   1.527636e-18   1.132439e-18   1.180109e-18   6.591891e-19   9.179526e-19   7.219551e-19   5.466500e-19   3.208049e-19   1.261622e-20   5.181875e-21   0.000000e+00
         7.0500   1.791265e-21   2.351139e-18   2.019572e-18   2.056186e-18   1.835015e-18   1.263783e-18   1.533405e-18   1.132815e-18   1.182407e-18   6.597041e-19   9.192668e-19   7.207985e-19   5.448769e-19   3.281610e-19   1.688354e-20   7.062537e-21   0.000000e+00
         7.1000   1.697809e-21   2.285918e-18   1.974246e-18   1.991178e-18   1.770251e-18   1.225695e-18   1.533525e-18   1.130502e-18   1.181344e-18   6.587240e-19   9.179846e-19   7.177850e-19   5.417878e-19   3.351477e-19   2.189470e-20   9.285221e-21   0.000000e+00
         7.1500   1.608583e-21   2.220699e-18   1.928060e-18   1.927068e-18   1.706854e-18   1.188001e-18   1.528453e-18   1.125789e-18   1.177184e-18   6.563844e-19   9.142991e-19   7.130567e-19   5.374896e-19   3.416403e-19   2.761086e-20   1.181965e-20   0.000000e+00
         7.2000   1.523489e-21   2.155669e-18   1.881210e-18   1.863947e-18   1.644986e-18   1.150763e-18   1.518719e-18   1.118929e-18   1.170192e-18   6.528095e-19   9.084009e-19   7.067635e-19   5.320852e-19   3.475440e-19   3.396500e-20   1.461677e-20   0.000000e+00
         7.2500   1.442420e-21   2.090998e-18   1.833846e-18   1.801893e-18   1.584762e-18   1.114026e-18   1.504871e-18   1.110136e-18   1.160636e-18   6.481123e-19   9.004834e-19   6.990946e-19   5.256757e-19   3.530197e-19   4.086782e-20   1.761342e-20   0.000000e+00
         7.3000   1.365258e-21   2.026839e-18   1.786129e-18   1.740976e-18   1.526244e-18   1.077832e-18   1.487444e-18   1.099591e-18   1.148824e-18   6.423937e-19   8.907397e-19   6.902261e-19   5.183970e-19   3.579027e-19   4.821434e-20   2.073910e-20   0.000000e+00
         7.3500   1.291876e-21   1.963330e-18   1.738209e-18   1.681257e-18   1.469465e-18   1.042218e-18   1.466939e-18   1.087455e-18   1.135042e-18   6.357440e-19   8.793586e-19   6.803040e-19   5.103954e-19   3.619865e-19   5.589042e-20   2.392282e-20   0.000000e+00
         7.4000   1.222141e-21   1.900593e-18   1.690228e-18   1.622787e-18   1.414430e-18   1.007222e-18   1.443816e-18   1.073871e-18   1.119531e-18   6.282447e-19   8.665236e-19   6.694535e-19   5.017775e-19   3.652084e-19   6.377766e-20   2.709699e-20   0.000000e+00
         7.4500   1.155919e-21   1.838736e-18   1.642319e-18   1.565609e-18   1.361124e-18   9.729290e-19   1.418485e-18   1.058969e-18   1.102505e-18   6.199700e-19   8.524525e-19   6.577853e-19   4.926226e-19   3.675218e-19   7.175470e-20   3.020089e-20   0.000000e+00
         7.5000   1.093071e-21   1.777853e-18   1.594601e-18   1.509758e-18   1.309494e-18   9.396003e-19   1.391327e-18   1.042875e-18   1.084150e-18   6.109889e-19   8.373871e-19   6.454058e-19   4.829934e-19   3.690387e-19   7.970543e-20   3.318306e-20   0.000000e+00
