# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         7.3500   0.000000e+00   7.513188e-24   3.005275e-23   6.761870e-23   1.206320e-22   1.977113e-22   2.890819e-22   3.997705e-22   5.331950e-22   6.859205e-22   8.604771e-22   1.063850e-21   1.281474e-21   1.607276e-21   1.848748e-21
         7.4000   0.000000e+00   7.958373e-24   3.183349e-23   7.162536e-23   1.275546e-22   2.079092e-22   3.035254e-22   4.191340e-22   5.580822e-22   7.171805e-22   8.989445e-22   1.110576e-21   1.337510e-21   1.717459e-21   1.978236e-21
         7.4500   0.000000e+00   8.429936e-24   3.371974e-23   7.586943e-23   1.349037e-22   2.188029e-22   3.189685e-22   4.398415e-22   5.846689e-22   7.504814e-22   9.397961e-22   1.159877e-21   1.396346e-21   1.831463e-21   2.113048e-21
         7.5000   0.000000e+00   8.929441e-24   3.571776e-23   8.036497e-23   1.428711e-22   2.304322e-22   3.354734e-22   4.619850e-22   6.130976e-22   7.860380e-22   9.832973e-22   1.212153e-21   1.458488e-21   1.948484e-21   2.252313e-21
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23   8.512690e-23   1.513367e-22   2.428378e-22   3.531022e-22   4.856580e-22   6.434998e-22   8.240543e-22   1.029729e-21   1.267747e-21   1.524421e-21   2.067744e-21   2.395053e-21
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23   9.017098e-23   1.603040e-22   2.560624e-22   3.719187e-22   5.109523e-22   6.760092e-22   8.647091e-22   1.079368e-21   1.327021e-21   1.594574e-21   2.188503e-21   2.540320e-21
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23   9.551395e-23   1.698026e-22   2.701505e-22   3.919887e-22   5.379617e-22   7.107612e-22   9.081837e-22   1.132451e-21   1.390352e-21   1.669402e-21   2.310217e-21   2.687264e-21
         7.7000   0.000000e+00   1.124150e-23   4.496600e-23   1.011735e-22   1.798640e-22   2.851490e-22   4.133807e-22   5.667824e-22   7.478889e-22   9.546623e-22   1.189217e-21   1.458072e-21   1.749372e-21   2.432548e-21   2.835251e-21
         7.7500   0.000000e+00   1.190760e-23   4.763041e-23   1.071684e-22   1.905216e-22   3.011075e-22   4.361666e-22   5.975142e-22   7.875288e-22   1.004327e-21   1.249908e-21   1.530493e-21   1.834888e-21   2.555438e-21   2.983958e-21
         7.8000   0.000000e+00   1.261317e-23   5.045268e-23   1.135185e-22   2.018107e-22   3.180787e-22   4.604220e-22   6.302611e-22   8.298213e-22   1.057361e-21   1.314767e-21   1.607932e-21   1.926340e-21   2.679129e-21   3.133364e-21
         7.8500   0.000000e+00   1.336055e-23   5.344219e-23   1.202449e-22   2.137688e-22   3.361181e-22   4.862274e-22   6.651327e-22   8.749123e-22   1.113955e-21   1.384033e-21   1.690710e-21   2.024125e-21   2.804133e-21   3.283846e-21
         7.9000   0.000000e+00   1.415221e-23   5.660884e-23   1.273699e-22   2.264354e-22   3.552846e-22   5.136675e-22   7.022444e-22   9.229537e-22   1.174305e-21   1.457957e-21   1.779142e-21   2.128641e-21   2.931218e-21   3.436082e-21
         7.9500   0.000000e+00   1.499078e-23   5.996313e-23   1.349170e-22   2.398525e-22   3.756415e-22   5.428322e-22   7.417191e-22   9.741060e-22   1.238615e-21   1.536796e-21   1.873552e-21   2.240282e-21   3.061351e-21   3.591065e-21
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23   1.429114e-22   2.540647e-22   3.972554e-22   5.738167e-22   7.836862e-22   1.028539e-21   1.307101e-21   1.620818e-21   1.974273e-21   2.359457e-21   3.195655e-21   3.750003e-21
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23   1.513794e-22   2.691189e-22   4.204983e-22   6.067235e-22   8.282824e-22   1.086431e-21   1.379989e-21   1.710305e-21   2.081653e-21   2.486582e-21   3.335326e-21   3.914298e-21
