# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         5.9500   5.219826e-21   3.185230e-18   2.415443e-18   3.355623e-18   3.096201e-18   1.887764e-18   2.537763e-19   2.592242e-19   2.893972e-19   2.589341e-19   3.393690e-19   3.535380e-19   3.440196e-19   2.074007e-19   6.953926e-21   1.717165e-20   1.686650e-20
         6.0000   4.930560e-21   3.201234e-18   2.435579e-18   3.325435e-18   3.083109e-18   1.884298e-18   3.192212e-19   3.136628e-19   3.361663e-19   2.784753e-19   3.653949e-19   3.719103e-19   3.550510e-19   2.080689e-19   6.679271e-21   1.635535e-20   1.601777e-20
         6.0500   4.678359e-21   3.209323e-18   2.450971e-18   3.289030e-18   3.059866e-18   1.876590e-18   3.907945e-19   3.729194e-19   3.884394e-19   3.002555e-19   3.941768e-19   3.913918e-19   3.656973e-19   2.087837e-19   6.424012e-21   1.554983e-20   1.522067e-20
         6.1000   4.454014e-21   3.209921e-18   2.461782e-18   3.247280e-18   3.027453e-18   1.865529e-18   4.672592e-19   4.357042e-19   4.454148e-19   3.242543e-19   4.260039e-19   4.122827e-19   3.764181e-19   2.098459e-19   6.187110e-21   1.481150e-20   1.447253e-20
         6.1500   4.250439e-21   3.203457e-18   2.468207e-18   3.200938e-18   2.987040e-18   1.851036e-18   5.473742e-19   5.006646e-19   5.059727e-19   3.502430e-19   4.607204e-19   4.346878e-19   3.875778e-19   2.115120e-19   5.967589e-21   1.411974e-20   1.377098e-20
         6.2000   4.062331e-21   3.190357e-18   2.470440e-18   3.150653e-18   2.940218e-18   1.833213e-18   6.299105e-19   5.664271e-19   5.687733e-19   3.777909e-19   4.979357e-19   4.585122e-19   3.994074e-19   2.139679e-19   5.764556e-21   1.347888e-20   1.311383e-20
         6.2500   3.885826e-21   3.171051e-18   2.468658e-18   3.096983e-18   2.888377e-18   1.812256e-18   7.136725e-19   6.317180e-19   6.323846e-19   4.063348e-19   5.370327e-19   4.835147e-19   4.119895e-19   2.173181e-19   5.577195e-21   1.286754e-20   1.249894e-20
         6.3000   3.718188e-21   3.145970e-18   2.463021e-18   3.040415e-18   2.832620e-18   1.788371e-18   7.975045e-19   6.954262e-19   6.955145e-19   4.352286e-19   5.772251e-19   5.093096e-19   4.252772e-19   2.215849e-19   5.404775e-21   1.228505e-20   1.192420e-20
         6.3500   3.557537e-21   3.115540e-18   2.453673e-18   2.981376e-18   2.773822e-18   1.762287e-18   8.802977e-19   7.565266e-19   7.570392e-19   4.638145e-19   6.176274e-19   5.353948e-19   4.391141e-19   2.267109e-19   5.246995e-21   1.175627e-20   1.138761e-20
         6.4000   3.402636e-21   3.080190e-18   2.440752e-18   2.920245e-18   2.712684e-18   1.734546e-18   9.610002e-19   8.140566e-19   8.159894e-19   4.914860e-19   6.573264e-19   5.612039e-19   4.532445e-19   2.325630e-19   5.104840e-21   1.126404e-20   1.088724e-20
         6.4500   3.252708e-21   3.040340e-18   2.424394e-18   2.857358e-18   2.649693e-18   1.704755e-18   1.038655e-18   8.672812e-19   8.715658e-19   5.177205e-19   6.955113e-19   5.861574e-19   4.673465e-19   2.389760e-19   4.982235e-21   1.080791e-20   1.042133e-20
         6.5000   3.107301e-21   2.996407e-18   2.404736e-18   2.793024e-18   2.585023e-18   1.673115e-18   1.112435e-18   9.157201e-19   9.231412e-19   5.421040e-19   7.315698e-19   6.097170e-19   4.810654e-19   2.457909e-19   4.888687e-21   1.038929e-20   9.988187e-21
         6.5500   2.966186e-21   2.948799e-18   2.381927e-18   2.727520e-18   2.518854e-18   1.639824e-18   1.181615e-18   9.590366e-19   9.702529e-19   5.643452e-19   7.650182e-19   6.314884e-19   4.940458e-19   2.528912e-19   4.843590e-21   1.000660e-20   9.586272e-21
         6.6000   2.829273e-21   2.897913e-18   2.356122e-18   2.661104e-18   2.451416e-18   1.605072e-18   1.245589e-18   9.970611e-19   1.012589e-18   5.842629e-19   7.954906e-19   6.511922e-19   5.059881e-19   2.602199e-19   4.881642e-21   9.685824e-21   9.214091e-21
         6.6500   2.696559e-21   2.844180e-18   2.327490e-18   2.594012e-18   2.382973e-18   1.569002e-18   1.303885e-18   1.029797e-18   1.049979e-18   6.017616e-19   8.227310e-19   6.686283e-19   5.166770e-19   2.677669e-19   5.058066e-21   9.440912e-21   8.870340e-21
         6.7000   2.568087e-21   2.787993e-18   2.296210e-18   2.526466e-18   2.313802e-18   1.531774e-18   1.356167e-18   1.057427e-18   1.082408e-18   6.168160e-19   8.465812e-19   6.836678e-19   5.259500e-19   2.755330e-19   5.450579e-21   9.304836e-21   8.553843e-21
         6.7500   2.443916e-21   2.729616e-18   2.262470e-18   2.458667e-18   2.244208e-18   1.494239e-18   1.402072e-18   1.080246e-18   1.109954e-18   6.294558e-19   8.669685e-19   6.962433e-19   5.336914e-19   2.834845e-19   6.157147e-21   9.322663e-21   8.263532e-21
         6.8000   2.324102e-21   2.669390e-18   2.226466e-18   2.390807e-18   2.174554e-18   1.456468e-18   1.441104e-18   1.098552e-18   1.132756e-18   6.397513e-19   8.838926e-19   7.063399e-19   5.398274e-19   2.915375e-19   7.289008e-21   9.549382e-21   7.998446e-21
         6.8500   2.208692e-21   2.607639e-18   2.188400e-18   2.323059e-18   2.105167e-18   1.418216e-18   1.473051e-18   1.112638e-18   1.150999e-18   6.478018e-19   8.974154e-19   7.139860e-19   5.443207e-19   2.996004e-19   8.961218e-21   1.004513e-20   7.757736e-21
         6.9000   2.097712e-21   2.544665e-18   2.148475e-18   2.255587e-18   2.036323e-18   1.379639e-18   1.497972e-18   1.122826e-18   1.164900e-18   6.537359e-19   9.076492e-19   7.192489e-19   5.471656e-19   3.076106e-19   1.128134e-20   1.086824e-20   7.540699e-21
         6.9500   1.991164e-21   2.480753e-18   2.106899e-18   2.188539e-18   1.968248e-18   1.340955e-18   1.516122e-18   1.129448e-18   1.174698e-18   6.577083e-19   9.147405e-19   7.222425e-19   5.483856e-19   3.154543e-19   1.433776e-20   1.206721e-20   7.346702e-21
