# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         4.9000   0.000000e+00   0.000000e+00   4.691810e-20   3.875202e-19   4.120833e-19   3.870779e-19   3.514225e-19   3.001561e-19   4.220860e-34   1.255925e-20   1.620031e-20   1.040144e-20   2.611851e-20   3.475173e-20   1.324110e-21   6.056388e-21  4.717502e-216  1.749196e-229   0.000000e+00
         4.9500   0.000000e+00   0.000000e+00   4.486974e-20   4.849223e-19   5.140409e-19   4.912791e-19   4.581399e-19   3.783726e-19   2.222284e-32   1.167046e-20   1.653677e-20   1.262941e-20   2.796578e-20   3.335588e-20   2.392157e-21   9.743597e-21  1.237885e-194  1.327390e-206   0.000000e+00
         5.0000   0.000000e+00   0.000000e+00   4.269888e-20   5.975406e-19   6.338863e-19   6.126393e-19   5.793067e-19   4.632178e-19   7.580781e-31   1.084165e-20   1.691423e-20   1.522533e-20   3.005731e-20   3.256343e-20   4.169389e-21   1.479838e-20  1.531258e-175  3.256690e-186   0.000000e+00
         5.0500   0.000000e+00   0.000000e+00   4.045995e-20   7.240404e-19   7.708328e-19   7.499152e-19   7.129060e-19   5.526243e-19   1.756683e-29   1.011617e-20   1.743267e-20   1.835046e-20   3.261010e-20   3.280746e-20   6.984643e-21   2.135005e-20  1.597072e-158  4.818099e-168   0.000000e+00
         5.1000   0.000000e+00   0.000000e+00   3.820009e-20   8.624505e-19   9.231640e-19   9.011101e-19   8.563159e-19   6.444459e-19   2.884393e-28   9.549092e-21   1.822545e-20   2.222467e-20   3.590811e-20   3.448907e-20   1.121409e-20   2.942394e-20  2.356148e-143  7.491756e-152   0.000000e+00
         5.1500   0.000000e+00   0.000000e+00   3.595846e-20   1.010254e-18   1.088325e-18   1.063634e-18   1.006571e-18   7.366367e-19   3.484616e-27   9.209757e-21   1.946111e-20   2.710542e-20   4.027332e-20   3.798912e-20   1.724130e-20   3.893148e-20  7.791003e-130  2.008944e-137   0.000000e+00
         5.2000   0.000000e+00   0.000000e+00   3.376618e-20   1.164503e-18   1.263052e-18   1.234497e-18   1.160582e-18   8.273213e-19   3.203650e-26   9.188409e-21   2.134258e-20   3.324859e-20   4.602444e-20   4.362647e-20   2.540139e-20   4.967533e-20  8.698645e-118  1.444525e-124   0.000000e+00
         5.2500   0.000000e+00   0.000000e+00   3.164686e-20   1.322028e-18   1.443609e-18   1.410499e-18   1.315317e-18   9.148830e-19   2.310264e-25   9.597146e-21   2.407496e-20   4.084484e-20   5.342918e-20   5.159666e-20   3.592441e-20   6.136968e-20  4.731991e-107  4.127830e-113   0.000000e+00
         5.3000   0.000000e+00   0.000000e+00   2.961735e-20   1.479659e-18   1.626035e-18   1.588403e-18   1.467945e-18   9.980232e-19   1.342156e-24   1.054645e-20   2.783538e-20   4.998443e-20   6.263963e-20   6.191247e-20   4.889366e-20   7.367053e-20   1.740861e-97  6.656656e-103   0.000000e+00
         5.3500   0.000000e+00   0.000000e+00   2.768877e-20   1.634452e-18   1.806400e-18   1.765065e-18   1.615948e-18   1.075765e-18   6.431975e-24   1.212949e-20   3.274600e-20   6.064104e-20   7.366554e-20   7.443284e-20   6.422951e-20   8.620915e-20   5.804349e-89   8.280896e-94   0.000000e+00
