# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         6.0500   7.117804e-25   2.917642e-18   8.302901e-19   8.956188e-19   7.034454e-19   6.401816e-19   8.646460e-19   7.682804e-19   6.370524e-19   3.474044e-19   4.901133e-21   5.683003e-21   2.358496e-22
         6.1000   7.590322e-25   2.858316e-18   8.774108e-19   9.472148e-19   7.413217e-19   6.711290e-19   9.166826e-19   8.059395e-19   6.585136e-19   3.548297e-19   4.694895e-21   5.433741e-21   2.514039e-22
         6.1500   8.140303e-25   2.796297e-18   9.195261e-19   9.940252e-19   7.759230e-19   6.997543e-19   9.657121e-19   8.415548e-19   6.791185e-19   3.627908e-19   4.497728e-21   5.201659e-21   2.680959e-22
         6.2000   8.776001e-25   2.732157e-18   9.564855e-19   1.035898e-18   8.071327e-19   7.258296e-19   1.011090e-18   8.745957e-19   6.984911e-19   3.710844e-19   4.332254e-21   4.987534e-21   2.860208e-22
         6.2500   9.506580e-25   2.666345e-18   9.882651e-19   1.072789e-18   8.349337e-19   7.492257e-19   1.052318e-18   9.046434e-19   7.162658e-19   3.795127e-19   4.206161e-21   4.794728e-21   3.052820e-22
         6.3000   1.034223e-24   2.599097e-18   1.014959e-18   1.104813e-18   8.593831e-19   7.699014e-19   1.089043e-18   9.313783e-19   7.322197e-19   3.879240e-19   4.148845e-21   4.631567e-21   3.259923e-22
         6.3500   1.129432e-24   2.530678e-18   1.036805e-18   1.132136e-18   8.805864e-19   7.878768e-19   1.121048e-18   9.545781e-19   7.462092e-19   3.962259e-19   4.211105e-21   4.514608e-21   3.482754e-22
         6.4000   1.237559e-24   2.461366e-18   1.054096e-18   1.154934e-18   8.986766e-19   8.032152e-19   1.148239e-18   9.741123e-19   7.581200e-19   4.043655e-19   4.468549e-21   4.472252e-21   3.722652e-22
         6.4500   1.360028e-24   2.391473e-18   1.067134e-18   1.173396e-18   9.138091e-19   8.160040e-19   1.170656e-18   9.899324e-19   7.678684e-19   4.122946e-19   5.033574e-21   4.547395e-21   3.981075e-22
         6.5000   1.498424e-24   2.321405e-18   1.076223e-18   1.187720e-18   9.261508e-19   8.263461e-19   1.188472e-18   1.002062e-18   7.754016e-19   4.199658e-19   6.037304e-21   4.797865e-21   4.259607e-22
